sma10_previous,cci20_previous,class
242.71,-21.93861004597612,1
242.95,98.46214934662865,1
243.01,99.44153633195806,0
243.12000000000003,109.86786369240049,1
243.22000000000003,117.85839417655228,1
243.32,102.54540268262848,0
243.44,101.5148840559035,0
243.55,100.2514032848662,0
243.64000000000004,89.62036625169803,0
243.71,68.31116765052944,1
243.7,32.404516569699936,1
243.68,17.310135879888527,1
243.69,48.915501406250044,0
243.63,-16.972449761541213,1
243.59,-11.852478199791927,1
243.59,-30.68672425356317,1
243.59,-20.425177931153435,1
243.56,-5.560417832040456,1
243.57,22.40958172723565,0
243.58,35.295075132829474,1
243.59,21.399168773441684,0
243.63,12.854910300272394,1
243.66000000000003,17.648530028721336,0
243.66,-22.11970965669456,0
243.53000000000003,-44.81815314474896,1
243.5,-25.72284948559573,0
243.49,-2.3439712122770304,1
243.51,8.251245230768731,1
243.53000000000003,-21.24280038042813,0
243.51,-14.312606738079404,1
243.51,0.9751093585219838,1
243.49,10.273256892477988,1
243.48999999999995,19.401388098101425,0
245.25,151.9226115840708,1
245.44,108.8270309077913,0
245.65,128.3364314514768,0
245.13,27.99312385517817,0
245.17,40.903421667583906,1
245.15,-32.190404548676966,1
245.14,-40.56706791491077,1
245.35,51.90944694485402,0
246.44,-8.995491459682867,0
246.32,-16.855271087085068,0
245.78,7.21770126800119,0
245.78000000000003,25.74828855910637,0
245.75,1.570210856888903,1
246.0,24.008482703539052,1
246.14,35.7745350951466,0
246.22,25.988900499439648,1
246.43,49.044444732569396,1
246.49,9.0097089461724,0
246.52000000000004,14.074815463533866,1
246.49,2.074795549648184,0
243.40000000000003,1.6931903945987798,0
243.42,12.67003486075333,1
243.41000000000003,6.090511470373088,0
243.40000000000003,6.002632994934852,0
243.42,2.1022616972241503,0
243.48999999999995,10.32250636708142,0
243.49,0.20060782566124225,1
243.47,7.9331357560764895,0
243.47,-10.512683350294218,1
243.43,1.0140571852020823,0
243.45,10.155883880388977,1
243.45,8.239774257040409,0
243.47,9.782567757734258,0
243.48,14.788556684189846,1
243.48,2.145695416204102,0
243.54,9.924854323598376,1
243.57,9.226674290765313,0
243.64,18.167946716552493,0
243.41,-1.5567982264922733,0
243.40000000000003,9.666897424865118,0
243.42,20.297657338070763,0
243.44,13.134358230237774,0
243.44,0.8352073297805495,1
243.47,0.9410111478481138,0
243.55,1.5732571457343036,1
243.6,3.4680404310444994,1
243.63,5.687527252733164,0
243.67,11.818834156428812,0
243.66,10.147069082510924,1
243.64999999999995,11.967321798105953,0
243.64999999999995,9.443652168006508,0
243.67,12.859754283041301,0
243.67,0.2132241625619085,1
243.31000000000003,-4.000354626029926,1
243.32,3.2464791933174246,0
243.25,30.059927471407587,1
243.3,53.19638857036657,0
243.44,81.3145467002538,0
243.58,74.3504030470735,1
244.02,81.69973293605865,1
244.17,72.76839284692278,0
244.36000000000004,53.55319289403757,0
244.53000000000003,47.95776900458728,0
243.05000000000004,-5.7915725313419575,0
243.4,11.722195488176482,1
243.38,12.39264619035711,1
243.39,13.50377462865776,1
243.42,25.677465313541607,0
243.48,47.30146802286857,1
243.65,38.023243575150225,1
244.1,61.333038218453396,0
244.22,57.36154804477928,0
244.3,40.61701965325139,0
244.32,30.899287469173284,0
244.36000000000004,23.614745532899367,1
244.41,16.207691846396994,1
244.39,8.223205462261372,1
244.37,7.776476739407178,1
244.31,2.7058180499685762,0
244.28000000000003,10.713579423575938,0
244.26,9.712520242697996,1
244.23,0.6783551786306558,0
244.22,-8.94465644412215,0
243.42,-20.00836688860914,1
243.44,-3.3938866056316583,0
243.48,4.7521805719972035,0
243.52000000000004,10.300130872784028,0
243.57,11.893405724981433,1
243.63,13.609423164598494,0
243.7,21.45268599887544,0
243.08,12.383244020872727,0
243.12,22.634572329555308,0
243.12,22.634572329555308,1
243.33,49.93076117163393,0
243.4,41.92757825674757,0
243.48999999999995,34.02023926196701,1
243.52,17.073708397702525,1
243.56,19.24499833813184,0
243.67,36.18590817735621,1
243.72000000000003,29.4195555761516,1
243.78000000000003,35.2728580864134,1
244.18,93.41935005226318,1
244.38,38.33324415451012,0
244.45,38.25601746660492,1
244.5,21.18985839706248,1
244.6,26.090087134056763,0
244.62,20.7488672030532,1
