price_previous,sma50_current,class
242.7,243.18,1
243.6,243.182,1
243.5,243.19,0
243.8,243.2,1
243.8,243.21,1
243.7,243.226,0
243.9,243.23999999999995,0
243.8,243.25399999999996,0
243.8,243.264,0
243.7,243.264,1
243.4,243.264,1
243.5,243.278,1
243.7,243.28,0
243.4,243.276,1
243.6,243.268,1
243.4,243.266,1
243.5,243.272,1
243.7,243.28400000000002,1
243.8,243.29999999999995,0
243.9,243.308,1
243.7,243.318,0
243.8,243.32799999999997,1
243.8,243.342,0
243.5,243.4,0
243.3,243.422,1
243.5,243.442,0
243.6,243.46599999999998,1
243.7,243.52000000000004,1
243.4,243.596,0
243.4,243.596,1
243.6,243.59600000000003,1
243.5,243.594,1
243.7,243.592,0
245.2,243.864,1
245.1,243.898,0
245.5,243.926,0
245.4,244.12800000000004,0
245.6,244.164,1
245.1,244.22800000000004,1
245.2,244.272,1
245.8,244.4,0
246.2,245.924,0
246.2,245.93,0
246.4,245.98999999999995,0
246.3,246.002,0
246.0,246.05000000000004,1
246.5,246.108,1
246.5,246.122,0
246.5,246.13,1
246.8,246.198,1
246.3,246.214,0
246.4,246.212,1
246.2,246.21599999999998,0
243.3,243.768,0
243.3,243.694,1
243.3,243.67,0
243.4,243.582,0
243.5,243.55599999999998,0
243.6,243.498,0
243.4,243.466,1
243.6,243.44000000000003,0
243.2,243.288,1
243.6,243.25600000000003,0
243.6,243.25800000000004,1
243.6,243.26800000000003,0
243.7,243.306,0
243.8,243.32,1
243.5,243.34,0
243.8,243.356,1
243.6,243.376,0
243.9,243.39,0
243.4,243.456,0
243.8,243.47599999999997,0
243.8,243.484,0
243.7,243.486,0
243.5,243.488,1
243.6,243.492,0
243.6,243.498,1
243.6,243.504,1
243.7,243.51,0
243.8,243.518,0
243.7,243.52599999999998,1
243.7,243.534,0
243.7,243.54000000000005,0
243.7,243.53600000000003,0
243.6,243.548,1
243.4,243.524,1
243.5,243.522,0
244.4,243.45,1
244.0,243.474,0
244.5,243.504,0
244.7,243.528,1
245.0,243.616,1
244.8,243.63,0
244.5,243.644,0
244.5,243.658,0
243.4,243.50600000000003,0
243.3,243.51799999999997,1
243.5,243.522,1
243.4,243.52599999999998,1
243.7,243.53800000000004,0
244.1,243.548,1
244.1,243.582,1
244.6,243.69,0
244.6,243.71599999999998,0
244.5,243.73799999999997,0
244.3,243.75799999999995,0
244.3,243.79,1
244.2,243.814,1
244.2,243.814,1
244.2,243.808,1
244.2,243.8,0
244.3,243.79999999999995,0
244.4,243.794,1
244.2,243.778,0
244.2,243.76400000000004,0
243.5,243.78600000000003,1
243.7,243.81600000000003,0
243.9,243.82599999999996,0
243.8,243.83,0
243.9,243.842,1
243.9,243.854,0
244.0,243.862,0
243.2,243.51000000000005,0
243.5,243.484,0
243.5,243.484,1
243.9,243.43600000000004,0
243.7,243.426,0
243.7,243.414,1
243.6,243.404,1
243.6,243.406,0
243.8,243.41599999999997,1
243.9,243.426,1
244.0,243.44200000000004,1
245.1,243.56600000000003,1
244.6,243.612,0
244.6,243.624,1
244.3,243.634,1
244.7,243.662,0
244.4,243.672,1
