ema20_previous,sma100_current,class
242.80494008222905,243.29500000000004,1
242.9735719306936,243.296,1
243.02817124666146,243.302,0
243.10911759592483,243.308,1
243.18830584822425,243.312,1
243.24745301310742,243.31600000000003,0
243.32299027329418,243.318,0
243.3803219293884,243.32100000000003,0
243.43368119754837,243.323,0
243.47541036069975,243.32000000000005,1
243.4831061194764,243.31700000000004,1
243.4959031496912,243.31800000000004,1
243.5896667964339,243.321,0
243.62481730125285,243.318,1
243.62870159974887,243.321,1
243.582892164194,243.324,1
243.57499767236592,243.32800000000003,1
243.58541488616103,243.33300000000003,1
243.60585156366957,243.341,0
243.6368412400411,243.34600000000003,1
243.63988082045898,243.34900000000002,0
243.65513026612962,243.353,1
243.668927383641,243.357,0
243.61136159673583,243.366,0
243.5360683833497,243.372,1
243.53263329922112,243.375,0
243.5390491754857,243.377,1
243.5724850856665,243.378,1
243.496092165583,243.38600000000002,0
243.4824772213984,243.38800000000003,1
243.49515763676848,243.389,1
243.49561881421917,243.392,1
243.51805922863358,243.396,0
244.81806398135518,243.568,1
244.865743807797,243.59099999999995,0
244.9529290156389,243.61299999999997,0
245.1783164513054,243.75,0
245.25567103400329,243.76999999999995,1
245.29822466314442,243.81399999999996,1
245.30821094057927,243.838,1
245.34270306406464,243.921,0
246.39915846957436,245.595,0
246.28039620981326,245.641,0
245.88114214902456,245.68400000000003,0
245.91805783334868,245.689,0
245.89144822143643,245.715,1
245.98850985045692,245.768,1
246.04466204697792,245.786,0
246.09546641525884,245.801,1
246.30929454768696,245.87,1
246.33322832528802,245.893,0
246.3559530000833,245.90500000000003,1
246.35597803129951,245.915,0
243.2851107520689,244.886,0
243.35144098069063,244.799,1
243.3510051490398,244.766,0
243.39164023291127,244.67400000000006,0
243.41386236904182,244.6490000000001,0
243.47282361897427,244.59900000000005,0
243.46588803621484,244.57500000000005,1
243.4801483739834,244.548,0
243.42995816325836,244.396,1
243.43941772418876,244.365,0
243.4576868138441,244.344,1
243.46826491104267,244.317,0
243.4962859986712,244.292,0
243.53264999060036,244.267,1
243.53102823747517,244.247,0
243.561107905178,244.223,1
243.56778745378688,244.201,0
243.6053778230587,244.176,0
243.43341967851242,243.892,0
243.47725870881715,243.866,0
243.51543482358952,243.84099999999998,0
243.53450022922726,243.815,0
243.52972672332132,243.791,1
243.53641941633828,243.769,0
243.5436316920596,243.743,1
243.55048787212868,243.72599999999997,1
243.56323935261327,243.711,0
243.5887635252758,243.69400000000002,0
243.5963819356714,243.681,1
243.60773809253936,243.667,0
243.61950048044707,243.654,0
243.63014264093502,243.643,0
243.63466389959882,243.62099999999995,1
243.3919082094387,243.406,1
243.3992271261044,243.393,0
243.30149203616463,243.42999999999995,1
243.3799187624617,243.44400000000002,0
243.50593417329483,243.457,0
243.64494681463356,243.47100000000003,1
243.9569343878308,243.525,1
244.05805512794174,243.543,0
244.11651058343682,243.56,0
244.16791108290508,243.571,0
243.3085189720704,243.529,0
243.2692667032982,243.51800000000003,1
243.30165569150776,243.51500000000004,1
243.3139973557042,243.51700000000002,1
243.35671059146011,243.52599999999998,0
243.4423777568309,243.53200000000004,1
243.61828912021068,243.552,1
243.98626163883515,243.589,0
244.06405391858522,243.59900000000002,0
244.12193806068558,243.604,0
244.15079849893291,243.611,0
244.179885863592,243.614,1
244.19370365394352,243.618,1
244.20042475824815,243.63200000000003,1
244.21079869360514,243.641,1
244.22316017469691,243.65200000000004,0
244.24238041160982,243.664,0
244.27226949887117,243.67500000000004,1
244.27282553840038,243.683,0
244.26737754262746,243.69,0
243.6010388386833,243.66600000000003,1
243.60751389556057,243.66800000000003,0
243.6309064056638,243.67000000000004,0
243.64105947834895,243.67300000000003,0
243.6597694012546,243.676,1
243.67520965695155,243.68,0
243.7031665309972,243.68400000000003,0
243.07158298150074,243.65,0
243.110795002005,243.647,0
243.110795002005,243.647,1
243.2985766221217,243.618,0
243.35168511790573,243.61000000000004,0
243.3982478919212,243.59600000000003,1
243.4323400762957,243.584,1
243.45723430681159,243.578,0
243.54907212003056,243.56600000000003,1
243.5914204416193,243.569,1
243.6481860179817,243.576,1
244.11850550148483,243.646,1
244.2441792258726,243.687,0
244.3003834654829,243.705,1
244.3122491032734,243.718,1
244.36961512845642,243.74400000000009,0
244.38292331426982,243.7510000000001,1
