sma10_previous,sma100_current,class
242.71,243.29500000000004,1
242.95,243.296,1
243.01,243.302,0
243.12000000000003,243.308,1
243.22000000000003,243.312,1
243.32,243.31600000000003,0
243.44,243.318,0
243.55,243.32100000000003,0
243.64000000000004,243.323,0
243.71,243.32000000000005,1
243.7,243.31700000000004,1
243.68,243.31800000000004,1
243.69,243.321,0
243.63,243.318,1
243.59,243.321,1
243.59,243.324,1
243.59,243.32800000000003,1
243.56,243.33300000000003,1
243.57,243.341,0
243.58,243.34600000000003,1
243.59,243.34900000000002,0
243.63,243.353,1
243.66000000000003,243.357,0
243.66,243.366,0
243.53000000000003,243.372,1
243.5,243.375,0
243.49,243.377,1
243.51,243.378,1
243.53000000000003,243.38600000000002,0
243.51,243.38800000000003,1
243.51,243.389,1
243.49,243.392,1
243.48999999999995,243.396,0
245.25,243.568,1
245.44,243.59099999999995,0
245.65,243.61299999999997,0
245.13,243.75,0
245.17,243.76999999999995,1
245.15,243.81399999999996,1
245.14,243.838,1
245.35,243.921,0
246.44,245.595,0
246.32,245.641,0
245.78,245.68400000000003,0
245.78000000000003,245.689,0
245.75,245.715,1
246.0,245.768,1
246.14,245.786,0
246.22,245.801,1
246.43,245.87,1
246.49,245.893,0
246.52000000000004,245.90500000000003,1
246.49,245.915,0
243.40000000000003,244.886,0
243.42,244.799,1
243.41000000000003,244.766,0
243.40000000000003,244.67400000000006,0
243.42,244.6490000000001,0
243.48999999999995,244.59900000000005,0
243.49,244.57500000000005,1
243.47,244.548,0
243.47,244.396,1
243.43,244.365,0
243.45,244.344,1
243.45,244.317,0
243.47,244.292,0
243.48,244.267,1
243.48,244.247,0
243.54,244.223,1
243.57,244.201,0
243.64,244.176,0
243.41,243.892,0
243.40000000000003,243.866,0
243.42,243.84099999999998,0
243.44,243.815,0
243.44,243.791,1
243.47,243.769,0
243.55,243.743,1
243.6,243.72599999999997,1
243.63,243.711,0
243.67,243.69400000000002,0
243.66,243.681,1
243.64999999999995,243.667,0
243.64999999999995,243.654,0
243.67,243.643,0
243.67,243.62099999999995,1
243.31000000000003,243.406,1
243.32,243.393,0
243.25,243.42999999999995,1
243.3,243.44400000000002,0
243.44,243.457,0
243.58,243.47100000000003,1
244.02,243.525,1
244.17,243.543,0
244.36000000000004,243.56,0
244.53000000000003,243.571,0
243.05000000000004,243.529,0
243.4,243.51800000000003,1
243.38,243.51500000000004,1
243.39,243.51700000000002,1
243.42,243.52599999999998,0
243.48,243.53200000000004,1
243.65,243.552,1
244.1,243.589,0
244.22,243.59900000000002,0
244.3,243.604,0
244.32,243.611,0
244.36000000000004,243.614,1
244.41,243.618,1
244.39,243.63200000000003,1
244.37,243.641,1
244.31,243.65200000000004,0
244.28000000000003,243.664,0
244.26,243.67500000000004,1
244.23,243.683,0
244.22,243.69,0
243.42,243.66600000000003,1
243.44,243.66800000000003,0
243.48,243.67000000000004,0
243.52000000000004,243.67300000000003,0
243.57,243.676,1
243.63,243.68,0
243.7,243.68400000000003,0
243.08,243.65,0
243.12,243.647,0
243.12,243.647,1
243.33,243.618,0
243.4,243.61000000000004,0
243.48999999999995,243.59600000000003,1
243.52,243.584,1
243.56,243.578,0
243.67,243.56600000000003,1
243.72000000000003,243.569,1
243.78000000000003,243.576,1
244.18,243.646,1
244.38,243.687,0
244.45,243.705,1
244.5,243.718,1
244.6,243.74400000000009,0
244.62,243.7510000000001,1
