price_current,rsi14_current,class
242.9,-3.07777613282434,1
243.5,18.323516316432414,1
243.8,24.76988694583753,0
243.8,24.76988694583753,1
243.7,20.836230548135052,1
243.9,25.061974356347164,0
243.8,21.160900258450692,0
243.8,21.160900258450692,0
243.7,16.63657763603696,0
243.4,2.0195353174736543,1
243.4,2.0195353174736543,1
244.0,22.12965611870645,1
243.8,13.686773613094175,0
243.5,1.3427049995352152,1
243.4,-3.6859918027169267,1
243.5,1.4764203268832716,1
243.7,9.801941802845704,1
243.8,13.201650031964023,1
243.9,16.27345156714425,0
243.7,7.283662721075642,1
243.8,11.054133230035717,0
243.8,11.054133230035717,1
243.7,5.935654388105847,0
243.6,1.76575572470405,0
243.5,-1.8018360413373105,1
243.6,3.879108784747871,0
243.6,3.879108784747871,1
243.7,9.435306228375024,1
243.4,-11.488438602341231,0
243.6,6.330362858200773,1
243.5,-1.4717048687384278,1
243.7,11.475843209984506,1
243.7,11.475843209984506,0
245.1,13.221505730246008,1
245.5,18.43960836214133,0
245.3,14.619784268185626,0
245.6,17.25881243782385,0
245.3,10.650078584996491,1
245.2,8.048925420453926,1
245.4,12.025095026541125,1
245.5,11.466792555441446,0
246.0,-8.595708787446156,0
246.3,4.854947767465474,0
246.3,9.801070102429053,0
246.0,0.6256447028448521,0
246.1,4.065011038020131,1
246.5,14.416792227493048,1
246.5,14.416792227493048,0
246.3,7.3801490969159715,1
246.4,5.5513746497732095,1
246.4,5.405951629219104,0
246.2,-2.5038297766230784,1
246.1,-6.762942841306739,0
243.4,-0.7452288576979242,0
243.3,-5.600105261462119,1
243.4,-0.9379299938098312,0
243.5,3.306361955186631,0
243.7,10.72061193101186,0
243.4,-2.762020923949265,0
243.6,5.9699577150342416,1
243.5,1.5142577916579825,0
243.3,-6.499480834976198,1
243.6,6.856219078603374,0
243.6,6.856219078603374,1
243.7,10.721733542434123,0
243.8,14.178119011846904,0
243.5,-0.03684619839033587,1
243.8,11.691889745498088,0
243.6,3.2774596066687,1
243.9,13.264134705584324,0
243.6,1.7548280784019423,0
243.8,13.165260463896034,0
243.8,13.165260463896034,0
243.7,8.797373830786142,0
243.5,-0.6103819943709112,0
243.6,4.04546886116195,1
243.6,4.04546886116195,0
243.6,4.04546886116195,1
243.7,9.105602555029165,1
243.8,13.440854767851606,0
243.7,7.7325750963479996,0
243.7,7.7325750963479996,1
243.7,7.7325750963479996,0
243.7,7.7325750963479996,0
243.6,0.05464813789346579,0
243.6,0.05464813789346579,1
243.5,4.479630263448527,1
243.5,4.479630263448527,0
244.0,14.870054547444001,1
244.5,21.847498941927253,0
244.7,24.066345659842824,0
244.4,17.700497658232212,1
244.8,20.89329138579868,1
244.5,14.265025644511836,0
244.5,14.265025644511836,0
244.4,11.702619164645784,0
243.5,1.825131487120018,0
243.5,2.909462573438901,1
243.4,-0.23818501028578964,1
243.7,8.252658882880041,1
244.1,16.40549302351181,0
243.9,11.147687979269406,1
244.3,17.631652586163014,1
244.6,19.886834504894253,0
244.5,17.170004990813286,0
244.3,11.31837219125427,0
244.3,11.31837219125427,0
244.2,7.925117668432094,1
244.0,0.6165694654325762,1
244.2,7.332991651174751,1
244.2,7.332991651174751,1
244.3,10.673170498435098,0
244.4,13.73089952875192,0
244.2,5.357636294818363,1
244.2,5.357636294818363,0
244.1,0.5021345378634976,0
243.7,-1.2465530181078464,1
243.9,9.36253235347283,0
243.8,3.7889043781124334,0
243.9,8.74183825941924,0
243.9,8.74183825941924,1
244.0,13.303380404559007,0
243.9,7.3500977142805075,0
243.1,-5.6544587383857134,0
243.4,5.39683666694232,0
243.4,5.39683666694232,1
243.7,11.949982401766976,0
243.7,11.949982401766976,0
243.6,8.08071200286345,1
243.6,8.08071200286345,1
243.9,16.973085572976288,0
243.9,15.957350925430362,1
244.0,18.526293204782466,1
244.2,22.92664811164725,1
244.6,19.36181058648505,1
244.6,19.36181058648505,0
244.3,9.53922653204694,1
244.2,6.013170717632249,1
244.4,9.22750320370183,0
244.4,9.22750320370183,1
