sma10_current,sma100_previous,class
242.71,243.301,1
243.01,243.291,1
243.12000000000003,243.296,0
243.22000000000003,243.302,1
243.32,243.308,1
243.44,243.312,0
243.55,243.31600000000003,0
243.64000000000004,243.318,0
243.71,243.32100000000003,0
243.7,243.323,1
243.68,243.32000000000005,1
243.7,243.31400000000005,1
243.7,243.31900000000005,0
243.6,243.31800000000004,1
243.59,243.32,1
243.59,243.322,1
243.56,243.324,1
243.57,243.32800000000003,1
243.58,243.33300000000003,0
243.59,243.341,1
243.63,243.34600000000003,0
243.66000000000003,243.34900000000002,1
243.67,243.353,0
243.63,243.36300000000003,0
243.5,243.36900000000003,1
243.49,243.372,0
243.48,243.375,1
243.53,243.377,1
243.51,243.38500000000008,0
243.51,243.38600000000002,1
243.49,243.38800000000003,1
243.48999999999995,243.389,1
243.51,243.392,0
245.44,243.551,1
245.65,243.568,0
245.79,243.59099999999995,0
245.17,243.72600000000003,0
245.19,243.75,1
245.14,243.792,1
245.19,243.81399999999996,1
245.38,243.89200000000002,0
246.39,245.59000000000003,0
246.3,245.627,0
245.78000000000003,245.679,0
245.76,245.68400000000003,0
245.79,245.703,1
246.14,245.748,1
246.22,245.768,0
246.21000000000004,245.786,1
246.47000000000003,245.854,1
246.52000000000004,245.881,0
246.49,245.893,1
246.45,245.90500000000003,0
243.4,244.915,0
243.41000000000003,244.831,1
243.40000000000003,244.799,0
243.42,244.701,0
243.46,244.67400000000006,0
243.49,244.62500000000003,0
243.47,244.59900000000005,1
243.49,244.57500000000005,0
243.43,244.41600000000003,1
243.45,244.38,0
243.45,244.365,1
243.47,244.344,0
243.48,244.317,0
243.48,244.292,1
243.54,244.267,0
243.57,244.247,1
243.64,244.223,0
243.67,244.201,0
243.40000000000003,243.917,0
243.42,243.892,0
243.44,243.866,0
243.44,243.84099999999998,0
243.47,243.815,1
243.51,243.791,0
243.6,243.75899999999996,1
243.63,243.743,1
243.67,243.72599999999997,0
243.66,243.711,0
243.64999999999995,243.69400000000002,1
243.64999999999995,243.681,0
243.67,243.667,0
243.67,243.654,0
243.67,243.631,1
243.32,243.414,1
243.34,243.406,0
243.3,243.421,1
243.44,243.42999999999995,0
243.58,243.44400000000002,0
243.71,243.457,1
244.17,243.505,1
244.36000000000004,243.525,0
244.53000000000003,243.543,0
244.53000000000003,243.56,0
243.09,243.529,0
243.38,243.518,1
243.39,243.51800000000003,1
243.42,243.51500000000004,1
243.48,243.51700000000002,0
243.54,243.52599999999998,1
243.75,243.54500000000004,1
244.22,243.581,0
244.3,243.589,0
244.32,243.59900000000002,0
244.36000000000004,243.604,0
244.41,243.611,1
244.4,243.614,1
244.37,243.625,1
244.31,243.63200000000003,1
244.28000000000003,243.641,0
244.26,243.65200000000004,0
244.23,243.664,1
244.22,243.67500000000004,0
244.2,243.683,0
243.42,243.66600000000003,1
243.48,243.66600000000003,0
243.52000000000004,243.66800000000003,0
243.57,243.67000000000004,0
243.63,243.67300000000003,1
243.7,243.676,0
243.77000000000004,243.68,0
243.09,243.64499999999995,0
243.13,243.657,0
243.13,243.657,1
243.4,243.62500000000003,0
243.48999999999995,243.618,0
243.52,243.61000000000004,1
243.56,243.59600000000003,1
243.64,243.584,0
243.72000000000003,243.571,1
243.78000000000003,243.56600000000003,1
243.83,243.569,1
244.28,243.63100000000003,1
244.45,243.669,0
244.5,243.687,1
244.53,243.705,1
244.62,243.733,0
244.61,243.74400000000009,1
