price_previous,stochk_14_previous,class
242.7,51.515151515151786,1
243.6,73.52207977208016,1
243.5,75.04713423831045,0
243.8,80.02450980392116,1
243.8,82.10784313725487,1
243.7,85.60924369747927,0
243.9,86.30952380952391,0
243.8,88.09523809523813,0
243.8,87.91208791208794,0
243.7,89.92673992674055,1
243.4,84.61538461538484,1
243.5,65.59829059829039,1
243.7,65.40404040404047,0
243.4,61.11111111111219,1
243.6,37.50000000000088,1
243.4,37.50000000000088,1
243.5,37.50000000000088,1
243.7,33.333333333334515,1
243.8,45.83333333333361,0
243.9,62.500000000000284,1
243.7,75.00000000000058,0
243.8,75.00000000000058,1
243.8,70.83333333333421,0
243.5,16.6666666666659,0
243.3,25.92592592592545,1
243.5,31.48148148148163,0
243.6,29.62962962962989,1
243.7,80.95238095237848,1
243.4,28.57142857143036,0
243.4,33.333333333334735,1
243.6,34.92063492063627,1
243.5,42.06349206349282,1
243.7,44.44444444444498,0
245.2,52.97181372549016,1
245.1,47.91666666666654,0
245.5,44.27083333333314,0
245.4,22.555018786902732,0
245.6,32.555018786902735,1
245.1,53.0303030303026,1
245.2,59.44055944055873,1
245.8,74.81146304675703,0
246.2,42.222222222221696,0
246.2,8.88888888888836,0
246.4,38.88888888888905,0
246.3,54.761904761904546,0
246.0,66.66666666666664,1
246.5,65.07936507936472,1
246.5,73.01587301587256,0
246.5,79.36507936507894,1
246.8,80.37741412354431,1
246.3,73.01587301587355,0
246.4,58.333333333333705,1
246.2,49.99999999999997,0
243.3,73.3333333333339,0
243.3,73.08080808080898,1
243.3,62.247474747475366,0
243.4,41.666666666667254,0
243.5,45.83333333333361,0
243.6,49.99999999999999,0
243.4,54.166666666666366,1
243.6,50.0,0
243.2,50.83333333333227,1
243.6,46.6666666666659,0
243.6,56.66666666666533,1
243.6,66.66666666666477,0
243.7,79.99999999999828,0
243.8,83.33333333333142,1
243.5,86.66666666666458,0
243.8,83.33333333333144,1
243.6,86.66666666666553,0
243.9,79.74358974358908,0
243.4,27.272727272726726,0
243.8,36.3636363636362,0
243.8,54.54545454545517,0
243.7,66.66666666666752,0
243.5,75.757575757577,1
243.6,63.63636363636465,0
243.6,48.48484848484856,1
243.6,51.51515151515144,1
243.7,48.48484848484856,0
243.8,48.48484848484856,0
243.7,56.666666666667226,1
243.7,61.515151515151814,0
243.7,57.61904761904742,0
243.7,43.80952380952266,0
243.6,40.47619047618873,1
243.4,66.66666666666802,1
243.5,66.66666666666802,0
244.4,36.66666666666661,1
244.0,42.31884057970973,0
244.5,51.76328502415447,0
244.7,71.20772946859908,1
245.0,70.00000000000016,1
244.8,72.22222222222223,0
244.5,77.77777777777784,0
244.5,79.99999999999993,0
243.4,64.35185185185192,0
243.3,72.96296296296242,1
243.5,68.68945868945805,1
243.4,66.83760683760579,1
243.7,54.456654456653865,0
244.1,54.68975468975446,1
244.1,71.21212121212145,1
244.6,81.82957393483719,0
244.6,77.1929824561402,0
244.5,78.94736842105239,0
244.3,75.43859649122804,0
244.3,68.73065015479894,1
244.2,62.919246646027176,1
244.2,40.91117216117235,1
244.2,34.98168498168489,1
244.2,35.89743589743573,0
244.3,32.30769230769172,0
244.4,32.82051282051257,1
244.2,36.66666666666652,0
244.2,38.33333333333298,0
243.5,15.555555555555983,1
243.7,34.444444444445004,0
243.9,47.22222222222239,0
243.8,62.777777777778084,0
243.9,76.1111111111116,1
243.9,83.33333333333431,0
244.0,83.93939393939486,0
243.2,57.777777777778866,0
243.5,66.66666666666735,0
243.5,66.66666666666735,1
243.9,76.54012654012661,0
243.7,80.21978021978012,0
243.7,85.71428571428595,1
243.6,85.71428571428595,1
243.6,76.19047619047632,0
243.8,73.80952380952398,1
243.9,76.62337662337724,1
244.0,80.08658008658112,1
245.1,61.53846153846101,1
244.6,64.10256410256358,0
244.6,56.410256410255954,1
244.3,48.71794871794831,1
244.7,37.60683760683783,0
244.4,37.37373737373759,1
