ema50_current,wpr14_current,class
243.04244851562999,-22.222222222220818,1
243.09723482203853,-23.529411764705984,1
243.12724866225426,-5.8823529411760775,0
243.156699094496,-12.499999999999332,1
243.1810730391989,-21.428571428572152,1
243.2141750962919,-7.142857142856707,0
243.2414438595034,-14.285714285713414,0
243.26764325945183,-15.384615384614374,0
243.28766645258773,-23.07692307692375,0
243.2920716897411,-46.15384615384532,1
243.29630417249646,-46.15384615384532,1
243.3358460758752,-0.0,1
243.36835825758973,-33.33333333333176,0
243.3818952129344,-62.49999999999911,1
243.3884166211081,-74.99999999999824,1
243.39263933389682,-62.49999999999911,1
243.40653350945578,-37.500000000000895,1
243.42564520011646,-24.99999999999823,1
243.44915619207558,-12.499999999999115,0
243.46144762562298,-37.500000000000895,1
243.477792216164,-24.99999999999823,0
243.49349584237004,-24.99999999999823,1
243.50588928220586,-37.500000000000895,0
243.53107009325439,-66.66666666666825,0
243.51574372563167,-55.55555555555521,1
243.52518394693396,-44.4444444444448,0
243.53548117421505,-28.571428571430317,1
243.56641740178765,-14.285714285717187,1
243.5552229905087,-57.14285714285656,0
243.55697895166531,-33.333333333334906,1
243.55474448297244,-50.0,1
243.5598271723899,-16.666666666669823,1
243.5647105406536,-16.666666666669823,0
244.18102591608482,-59.375000000000135,1
244.24318168121968,-53.125000000000036,0
244.29321601201,-56.24999999999986,0
244.55473397200885,-40.909090909091375,0
244.59500498737748,-54.54545454545431,1
244.65700775575604,-30.769230769231612,1
244.69964402460653,-15.384615384614714,1
244.8391419196336,-29.41176470588255,0
246.10498976297816,-93.33333333333373,0
246.1106962145661,-73.33333333333294,0
246.0194204556496,-23.80952380952355,0
246.0223405013616,-38.095238095238216,0
246.03074637938067,-33.33333333333378,1
246.08648833757584,-14.285714285714672,1
246.10699971877625,-14.285714285714672,0
246.11702277872755,-23.80952380952355,1
246.21835573997515,-50.0,1
246.2333196869252,-50.0,0
246.23139942716784,-66.66666666666825,1
246.2274737191914,-81.81818181818275,0
243.47562457812992,-19.999999999998863,0
243.45194484822804,-74.99999999999824,1
243.44254453094032,-62.49999999999911,0
243.4193215270121,-50.00000000000001,0
243.4223516561689,-25.000000000001783,0
243.41068678503564,-62.49999999999911,0
243.40829314679337,-37.500000000000895,1
243.40391262419402,-50.00000000000001,0
243.35169122077892,-50.0,1
243.3612556220941,-20.0000000000017,0
243.3712317520857,-20.0000000000017,1
243.38719265139287,-10.000000000002274,0
243.41503967685944,-0.0,0
243.4226666918136,-30.000000000001133,1
243.4436001301281,-0.0,0
243.45464230130239,-20.0000000000017,1
243.47824336277438,-15.384615384614714,0
243.48731337043762,-38.461538461538964,0
243.4738747829836,-27.272727272725863,0
243.4928000608603,-27.272727272725863,0
243.5033799701416,-36.36363636363706,0
243.50386102766103,-54.54545454545431,0
243.5082447888069,-45.45454545454569,1
243.5130702431192,-45.45454545454569,0
243.52154726678987,-45.45454545454569,1
243.53038622929424,-36.36363636363706,1
243.54280013444543,-27.272727272725863,0
243.55141925652737,-40.000000000000576,0
243.55970037382176,-40.000000000000576,1
243.56765674141843,-57.14285714285889,0
243.57468748923145,-57.14285714285889,0
243.5744529259767,-71.42857142857258,0
243.580026773318,-66.66666666666825,1
243.4807546650657,-28.57142857142741,1
243.48089577871468,-16.66666666666588,0
243.4136662072789,-30.43478260869539,1
243.46363079689957,-30.000000000000192,0
243.52131994420768,-23.333333333333908,0
243.56314125002723,-33.333333333333336,1
243.72565081729766,-19.999999999999808,1
243.76031268948935,-30.000000000000192,0
243.7936152725756,-30.000000000000192,0
243.82169030338383,-33.333333333333336,0
243.47943632327932,-16.666666666667194,0
243.4577724455459,-23.07692307692375,1
243.45673407018205,-44.4444444444448,1
243.46750112130297,-14.285714285717187,1
243.49598663110697,-9.09090909090862,0
243.51489831947208,-27.272727272725863,1
243.58457806898528,-7.692307692307187,1
243.76641211403037,-21.052631578947604,0
243.8031571362052,-26.31578947368413,0
243.82939082912742,-36.84210526315718,0
243.85398214441014,-41.1764705882349,0
243.87736915796813,-50.00000000000089,1
243.8895414750127,-71.42857142857113,1
243.913461844291,-61.53846153846187,1
243.9228578186069,-61.53846153846187,1
243.93519328660145,-69.99999999999885,0
243.95342100085227,-59.999999999999424,0
243.96124994942073,-80.00000000000115,1
243.96570385355844,-75.00000000000179,0
243.9666751315292,-87.50000000000091,0
243.7866210868114,-41.66666666666706,1
243.79681520218614,-24.999999999998817,0
243.8000081230579,-19.999999999998863,0
243.8051565838701,-9.999999999999432,0
243.81255756573015,-9.999999999999432,1
243.82358988163492,-9.09090909090862,0
243.82904077833697,-18.18181818181724,0
243.32024394552025,-39.999999999999616,0
243.32228789451136,-27.272727272725863,0
243.32228789451136,-27.272727272725863,1
243.36140400928653,-21.428571428572152,0
243.3716142565921,-21.428571428572152,0
243.3768889280473,-28.57142857142886,1
243.38257035500945,-28.57142857142886,1
243.4034753190044,-7.142857142856707,0
243.4409310230653,-27.272727272725863,1
243.4659233235105,-18.18181818181724,1
243.49961948710109,-0.0,1
243.73536917847224,-50.00000000000055,1
243.8156778387047,-50.00000000000055,0
243.83835249684574,-61.538461538461455,1
243.85560277871136,-70.83333333333387,1
243.91716470418132,-68.18181818181765,0
243.93916744850443,-68.18181818181765,1
