price_previous,sma100_previous,class
242.7,243.301,1
243.6,243.291,1
243.5,243.296,0
243.8,243.302,1
243.8,243.308,1
243.7,243.312,0
243.9,243.31600000000003,0
243.8,243.318,0
243.8,243.32100000000003,0
243.7,243.323,1
243.4,243.32000000000005,1
243.5,243.31400000000005,1
243.7,243.31900000000005,0
243.4,243.31800000000004,1
243.6,243.32,1
243.4,243.322,1
243.5,243.324,1
243.7,243.32800000000003,1
243.8,243.33300000000003,0
243.9,243.341,1
243.7,243.34600000000003,0
243.8,243.34900000000002,1
243.8,243.353,0
243.5,243.36300000000003,0
243.3,243.36900000000003,1
243.5,243.372,0
243.6,243.375,1
243.7,243.377,1
243.4,243.38500000000008,0
243.4,243.38600000000002,1
243.6,243.38800000000003,1
243.5,243.389,1
243.7,243.392,0
245.2,243.551,1
245.1,243.568,0
245.5,243.59099999999995,0
245.4,243.72600000000003,0
245.6,243.75,1
245.1,243.792,1
245.2,243.81399999999996,1
245.8,243.89200000000002,0
246.2,245.59000000000003,0
246.2,245.627,0
246.4,245.679,0
246.3,245.68400000000003,0
246.0,245.703,1
246.5,245.748,1
246.5,245.768,0
246.5,245.786,1
246.8,245.854,1
246.3,245.881,0
246.4,245.893,1
246.2,245.90500000000003,0
243.3,244.915,0
243.3,244.831,1
243.3,244.799,0
243.4,244.701,0
243.5,244.67400000000006,0
243.6,244.62500000000003,0
243.4,244.59900000000005,1
243.6,244.57500000000005,0
243.2,244.41600000000003,1
243.6,244.38,0
243.6,244.365,1
243.6,244.344,0
243.7,244.317,0
243.8,244.292,1
243.5,244.267,0
243.8,244.247,1
243.6,244.223,0
243.9,244.201,0
243.4,243.917,0
243.8,243.892,0
243.8,243.866,0
243.7,243.84099999999998,0
243.5,243.815,1
243.6,243.791,0
243.6,243.75899999999996,1
243.6,243.743,1
243.7,243.72599999999997,0
243.8,243.711,0
243.7,243.69400000000002,1
243.7,243.681,0
243.7,243.667,0
243.7,243.654,0
243.6,243.631,1
243.4,243.414,1
243.5,243.406,0
244.4,243.421,1
244.0,243.42999999999995,0
244.5,243.44400000000002,0
244.7,243.457,1
245.0,243.505,1
244.8,243.525,0
244.5,243.543,0
244.5,243.56,0
243.4,243.529,0
243.3,243.518,1
243.5,243.51800000000003,1
243.4,243.51500000000004,1
243.7,243.51700000000002,0
244.1,243.52599999999998,1
244.1,243.54500000000004,1
244.6,243.581,0
244.6,243.589,0
244.5,243.59900000000002,0
244.3,243.604,0
244.3,243.611,1
244.2,243.614,1
244.2,243.625,1
244.2,243.63200000000003,1
244.2,243.641,0
244.3,243.65200000000004,0
244.4,243.664,1
244.2,243.67500000000004,0
244.2,243.683,0
243.5,243.66600000000003,1
243.7,243.66600000000003,0
243.9,243.66800000000003,0
243.8,243.67000000000004,0
243.9,243.67300000000003,1
243.9,243.676,0
244.0,243.68,0
243.2,243.64499999999995,0
243.5,243.657,0
243.5,243.657,1
243.9,243.62500000000003,0
243.7,243.618,0
243.7,243.61000000000004,1
243.6,243.59600000000003,1
243.6,243.584,0
243.8,243.571,1
243.9,243.56600000000003,1
244.0,243.569,1
245.1,243.63100000000003,1
244.6,243.669,0
244.6,243.687,1
244.3,243.705,1
244.7,243.733,0
244.4,243.74400000000009,1
