price_current,sma20_current,class
242.9,242.86999999999995,1
243.5,242.94,1
243.8,242.965,0
243.8,243.01000000000005,1
243.7,243.045,1
243.9,243.09,0
243.8,243.13,0
243.8,243.175,0
243.7,243.23,0
243.4,243.28,1
243.4,243.315,1
244.0,243.40999999999997,1
243.8,243.51,0
243.5,243.62,1
243.4,243.645,1
243.5,243.635,1
243.7,243.63,1
243.8,243.63,1
243.9,243.64,0
243.7,243.63,1
243.8,243.63,0
243.8,243.63,1
243.7,243.63,0
243.6,243.605,0
243.5,243.58,1
243.6,243.58,0
243.6,243.5900000000001,1
243.7,243.61,1
243.4,243.49499999999995,0
243.6,243.49999999999997,1
243.5,243.5,1
243.7,243.51,1
243.7,243.52,0
245.1,244.305,1
245.5,244.39500000000004,0
245.3,244.48,0
245.6,245.21,0
245.3,245.315,1
245.2,245.4650000000001,1
245.4,245.425,1
245.5,245.31,0
246.0,246.345,0
246.3,246.335,0
246.3,246.04,0
246.0,246.005,0
246.1,245.92,1
246.5,245.965,1
246.5,245.99,0
246.3,245.99500000000003,1
246.4,246.11,1
246.4,246.195,0
246.2,246.245,1
246.1,246.295,0
243.4,243.23,0
243.3,243.27500000000003,1
243.4,243.29,0
243.5,243.385,0
243.7,243.43,0
243.4,243.445,0
243.6,243.45,1
243.5,243.455,0
243.3,243.445,1
243.6,243.47000000000003,0
243.6,243.46000000000004,1
243.7,243.48,0
243.8,243.505,0
243.5,243.51,1
243.8,243.525,0
243.6,243.53500000000003,1
243.9,243.555,0
243.6,243.55,0
243.8,243.52,0
243.8,243.545,0
243.7,243.55,0
243.5,243.545,0
243.6,243.545,1
243.6,243.54000000000005,0
243.6,243.53500000000008,1
243.7,243.53000000000003,1
243.8,243.54000000000005,0
243.7,243.53000000000003,0
243.7,243.535,1
243.7,243.545,0
243.7,243.555,0
243.6,243.57,0
243.6,243.61000000000004,1
243.5,243.44,1
243.5,243.43,0
244.0,243.335,1
244.5,243.4,0
244.7,243.485,0
244.4,243.545,1
244.8,243.74,1
244.5,243.795,0
244.5,243.84500000000003,0
244.4,243.89,0
243.5,243.435,0
243.5,243.205,1
243.4,243.215,1
243.7,243.235,1
244.1,243.285,0
243.9,243.36499999999995,1
244.3,243.56,1
244.6,243.805,0
244.5,243.86000000000004,0
244.3,243.90000000000003,0
244.3,243.95000000000005,0
244.2,243.99,1
244.0,244.025,1
244.2,244.105,1
244.2,244.14999999999995,1
244.3,244.19,0
244.4,244.23999999999995,0
244.2,244.265,1
244.2,244.27,0
244.1,244.28,0
243.7,243.775,1
243.9,243.735,0
243.8,243.715,0
243.9,243.695,0
243.9,243.67,1
244.0,243.66,0
243.9,243.64499999999992,0
243.1,243.08,0
243.4,243.08,0
243.4,243.08,1
243.7,243.19499999999996,0
243.7,243.23999999999995,0
243.6,243.29,1
243.6,243.32,1
243.9,243.365,0
243.9,243.425,1
244.0,243.485,1
244.2,243.54,1
244.6,243.90000000000003,1
244.6,244.04500000000007,0
244.3,244.08500000000004,1
244.2,244.12500000000009,1
244.4,244.225,0
244.4,244.24999999999997,1
