sma50_current,stochk_14_previous,class
243.18,51.515151515151786,1
243.182,73.52207977208016,1
243.19,75.04713423831045,0
243.2,80.02450980392116,1
243.21,82.10784313725487,1
243.226,85.60924369747927,0
243.23999999999995,86.30952380952391,0
243.25399999999996,88.09523809523813,0
243.264,87.91208791208794,0
243.264,89.92673992674055,1
243.264,84.61538461538484,1
243.278,65.59829059829039,1
243.28,65.40404040404047,0
243.276,61.11111111111219,1
243.268,37.50000000000088,1
243.266,37.50000000000088,1
243.272,37.50000000000088,1
243.28400000000002,33.333333333334515,1
243.29999999999995,45.83333333333361,0
243.308,62.500000000000284,1
243.318,75.00000000000058,0
243.32799999999997,75.00000000000058,1
243.342,70.83333333333421,0
243.4,16.6666666666659,0
243.422,25.92592592592545,1
243.442,31.48148148148163,0
243.46599999999998,29.62962962962989,1
243.52000000000004,80.95238095237848,1
243.596,28.57142857143036,0
243.596,33.333333333334735,1
243.59600000000003,34.92063492063627,1
243.594,42.06349206349282,1
243.592,44.44444444444498,0
243.864,52.97181372549016,1
243.898,47.91666666666654,0
243.926,44.27083333333314,0
244.12800000000004,22.555018786902732,0
244.164,32.555018786902735,1
244.22800000000004,53.0303030303026,1
244.272,59.44055944055873,1
244.4,74.81146304675703,0
245.924,42.222222222221696,0
245.93,8.88888888888836,0
245.98999999999995,38.88888888888905,0
246.002,54.761904761904546,0
246.05000000000004,66.66666666666664,1
246.108,65.07936507936472,1
246.122,73.01587301587256,0
246.13,79.36507936507894,1
246.198,80.37741412354431,1
246.214,73.01587301587355,0
246.212,58.333333333333705,1
246.21599999999998,49.99999999999997,0
243.768,73.3333333333339,0
243.694,73.08080808080898,1
243.67,62.247474747475366,0
243.582,41.666666666667254,0
243.55599999999998,45.83333333333361,0
243.498,49.99999999999999,0
243.466,54.166666666666366,1
243.44000000000003,50.0,0
243.288,50.83333333333227,1
243.25600000000003,46.6666666666659,0
243.25800000000004,56.66666666666533,1
243.26800000000003,66.66666666666477,0
243.306,79.99999999999828,0
243.32,83.33333333333142,1
243.34,86.66666666666458,0
243.356,83.33333333333144,1
243.376,86.66666666666553,0
243.39,79.74358974358908,0
243.456,27.272727272726726,0
243.47599999999997,36.3636363636362,0
243.484,54.54545454545517,0
243.486,66.66666666666752,0
243.488,75.757575757577,1
243.492,63.63636363636465,0
243.498,48.48484848484856,1
243.504,51.51515151515144,1
243.51,48.48484848484856,0
243.518,48.48484848484856,0
243.52599999999998,56.666666666667226,1
243.534,61.515151515151814,0
243.54000000000005,57.61904761904742,0
243.53600000000003,43.80952380952266,0
243.548,40.47619047618873,1
243.524,66.66666666666802,1
243.522,66.66666666666802,0
243.45,36.66666666666661,1
243.474,42.31884057970973,0
243.504,51.76328502415447,0
243.528,71.20772946859908,1
243.616,70.00000000000016,1
243.63,72.22222222222223,0
243.644,77.77777777777784,0
243.658,79.99999999999993,0
243.50600000000003,64.35185185185192,0
243.51799999999997,72.96296296296242,1
243.522,68.68945868945805,1
243.52599999999998,66.83760683760579,1
243.53800000000004,54.456654456653865,0
243.548,54.68975468975446,1
243.582,71.21212121212145,1
243.69,81.82957393483719,0
243.71599999999998,77.1929824561402,0
243.73799999999997,78.94736842105239,0
243.75799999999995,75.43859649122804,0
243.79,68.73065015479894,1
243.814,62.919246646027176,1
243.814,40.91117216117235,1
243.808,34.98168498168489,1
243.8,35.89743589743573,0
243.79999999999995,32.30769230769172,0
243.794,32.82051282051257,1
243.778,36.66666666666652,0
243.76400000000004,38.33333333333298,0
243.78600000000003,15.555555555555983,1
243.81600000000003,34.444444444445004,0
243.82599999999996,47.22222222222239,0
243.83,62.777777777778084,0
243.842,76.1111111111116,1
243.854,83.33333333333431,0
243.862,83.93939393939486,0
243.51000000000005,57.777777777778866,0
243.484,66.66666666666735,0
243.484,66.66666666666735,1
243.43600000000004,76.54012654012661,0
243.426,80.21978021978012,0
243.414,85.71428571428595,1
243.404,85.71428571428595,1
243.406,76.19047619047632,0
243.41599999999997,73.80952380952398,1
243.426,76.62337662337724,1
243.44200000000004,80.08658008658112,1
243.56600000000003,61.53846153846101,1
243.612,64.10256410256358,0
243.624,56.410256410255954,1
243.634,48.71794871794831,1
243.662,37.60683760683783,0
243.672,37.37373737373759,1
