price_current,sma100_current,class
242.9,243.29500000000004,1
243.5,243.296,1
243.8,243.302,0
243.8,243.308,1
243.7,243.312,1
243.9,243.31600000000003,0
243.8,243.318,0
243.8,243.32100000000003,0
243.7,243.323,0
243.4,243.32000000000005,1
243.4,243.31700000000004,1
244.0,243.31800000000004,1
243.8,243.321,0
243.5,243.318,1
243.4,243.321,1
243.5,243.324,1
243.7,243.32800000000003,1
243.8,243.33300000000003,1
243.9,243.341,0
243.7,243.34600000000003,1
243.8,243.34900000000002,0
243.8,243.353,1
243.7,243.357,0
243.6,243.366,0
243.5,243.372,1
243.6,243.375,0
243.6,243.377,1
243.7,243.378,1
243.4,243.38600000000002,0
243.6,243.38800000000003,1
243.5,243.389,1
243.7,243.392,1
243.7,243.396,0
245.1,243.568,1
245.5,243.59099999999995,0
245.3,243.61299999999997,0
245.6,243.75,0
245.3,243.76999999999995,1
245.2,243.81399999999996,1
245.4,243.838,1
245.5,243.921,0
246.0,245.595,0
246.3,245.641,0
246.3,245.68400000000003,0
246.0,245.689,0
246.1,245.715,1
246.5,245.768,1
246.5,245.786,0
246.3,245.801,1
246.4,245.87,1
246.4,245.893,0
246.2,245.90500000000003,1
246.1,245.915,0
243.4,244.886,0
243.3,244.799,1
243.4,244.766,0
243.5,244.67400000000006,0
243.7,244.6490000000001,0
243.4,244.59900000000005,0
243.6,244.57500000000005,1
243.5,244.548,0
243.3,244.396,1
243.6,244.365,0
243.6,244.344,1
243.7,244.317,0
243.8,244.292,0
243.5,244.267,1
243.8,244.247,0
243.6,244.223,1
243.9,244.201,0
243.6,244.176,0
243.8,243.892,0
243.8,243.866,0
243.7,243.84099999999998,0
243.5,243.815,0
243.6,243.791,1
243.6,243.769,0
243.6,243.743,1
243.7,243.72599999999997,1
243.8,243.711,0
243.7,243.69400000000002,0
243.7,243.681,1
243.7,243.667,0
243.7,243.654,0
243.6,243.643,0
243.6,243.62099999999995,1
243.5,243.406,1
243.5,243.393,0
244.0,243.42999999999995,1
244.5,243.44400000000002,0
244.7,243.457,0
244.4,243.47100000000003,1
244.8,243.525,1
244.5,243.543,0
244.5,243.56,0
244.4,243.571,0
243.5,243.529,0
243.5,243.51800000000003,1
243.4,243.51500000000004,1
243.7,243.51700000000002,1
244.1,243.52599999999998,0
243.9,243.53200000000004,1
244.3,243.552,1
244.6,243.589,0
244.5,243.59900000000002,0
244.3,243.604,0
244.3,243.611,0
244.2,243.614,1
244.0,243.618,1
244.2,243.63200000000003,1
244.2,243.641,1
244.3,243.65200000000004,0
244.4,243.664,0
244.2,243.67500000000004,1
244.2,243.683,0
244.1,243.69,0
243.7,243.66600000000003,1
243.9,243.66800000000003,0
243.8,243.67000000000004,0
243.9,243.67300000000003,0
243.9,243.676,1
244.0,243.68,0
243.9,243.68400000000003,0
243.1,243.65,0
243.4,243.647,0
243.4,243.647,1
243.7,243.618,0
243.7,243.61000000000004,0
243.6,243.59600000000003,1
243.6,243.584,1
243.9,243.578,0
243.9,243.56600000000003,1
244.0,243.569,1
244.2,243.576,1
244.6,243.646,1
244.6,243.687,0
244.3,243.705,1
244.2,243.718,1
244.4,243.74400000000009,0
244.4,243.7510000000001,1
