stochk_14_previous,adi14_previous,class
51.515151515151786,29.49350703497163,1
73.52207977208016,27.33001566438905,1
75.04713423831045,28.138500306321497,0
80.02450980392116,28.88923604525876,1
82.10784313725487,29.839196304385656,1
85.60924369747927,30.127138022428827,0
86.30952380952391,30.39451247489746,0
88.09523809523813,30.64278875218976,0
87.91208791208794,29.65413273155519,0
89.92673992674055,28.7360949981088,1
84.61538461538484,26.808864225706376,1
65.59829059829039,23.357547893495926,1
65.40404040404047,24.263916931273553,0
61.11111111111219,23.099130809294962,1
37.50000000000088,20.347613516425785,1
37.50000000000088,17.624687130911788,1
37.50000000000088,16.909175483037668,1
33.333333333334515,16.711535284196447,1
45.83333333333361,17.33874074742248,0
62.500000000000284,18.274806785425405,1
75.00000000000058,18.52174525658243,0
75.00000000000058,18.167628804815713,1
70.83333333333421,17.838806385318048,0
16.6666666666659,14.047811285716715,0
25.92592592592545,12.590495292347144,1
31.48148148148163,11.723718980900244,0
29.62962962962989,11.781263603796566,1
80.95238095237848,11.993563461893716,1
28.57142857143036,10.348523684005812,0
33.333333333334735,9.84139887985757,1
34.92063492063627,9.479940862592802,1
42.06349206349282,9.669916171077272,1
44.44444444444498,9.846321814670004,0
52.97181372549016,36.52739609974017,1
47.91666666666654,36.066683634769795,0
44.27083333333314,35.901222962108825,0
22.555018786902732,30.784253475909622,0
32.555018786902735,30.407514357618858,1
53.0303030303026,28.696111592936987,1
59.44055944055873,27.828190657430497,1
74.81146304675703,27.777909474020287,0
42.222222222221696,20.94931758949373,0
8.88888888888836,21.726828807740823,0
38.88888888888905,20.850100747130746,0
54.761904761904546,21.022582531595226,0
66.66666666666664,18.96465301825261,1
65.07936507936472,17.64296552108821,1
73.01587301587256,18.029949940459744,0
79.36507936507894,17.774539048536305,1
80.37741412354431,19.521597386233346,1
73.01587301587355,17.83628053099605,0
58.333333333333705,16.85596897350981,1
49.99999999999997,16.43903175848917,0
73.3333333333339,27.351905880629463,0
73.08080808080898,24.396514368889193,1
62.247474747475366,23.5180218814308,0
41.666666666667254,20.313481744341985,0
45.83333333333361,18.921429054368943,0
49.99999999999999,18.333946911158463,0
54.166666666666366,17.202181312156974,1
50.0,16.527741506593383,0
50.83333333333227,16.255569177702306,1
46.6666666666659,15.199733703992365,0
56.66666666666533,14.799968119111641,1
66.66666666666477,14.428757218865249,0
79.99999999999828,14.084061382922178,0
83.33333333333142,14.132824171475516,1
86.66666666666458,13.345742014891947,0
83.33333333333144,12.614880012350055,1
86.66666666666553,11.936222438561153,0
79.74358974358908,12.060965966298456,0
27.272727272726726,10.508742724530194,0
36.3636363636362,10.551203324066408,0
54.54545454545517,11.592449135621335,0
66.66666666666752,12.559320246350902,0
75.757575757577,12.074671102857986,1
63.63636363636465,11.62463975532885,0
48.48484848484856,10.818716270723105,1
51.51515151515144,10.894874503855435,1
48.48484848484856,10.965592863192592,0
48.48484848484856,11.471529205555143,0
56.666666666667226,11.941327237748899,1
61.515151515151814,12.816823244868123,0
57.61904761904742,13.62978382290741,0
43.80952380952266,15.187370909879633,0
40.47619047618873,17.210901329108648,1
66.66666666666802,14.66350116158429,1
66.66666666666802,13.647362654291612,0
36.66666666666661,18.43783559312172,1
42.31884057970973,19.612686809556244,0
51.76328502415447,21.5913002090508,0
71.20772946859908,23.42858408001002,1
70.00000000000016,28.103873545614746,1
72.22222222222223,29.967589134721035,0
77.77777777777784,31.34619330779241,0
79.99999999999993,32.62632575421583,0
64.35185185185192,20.223506211936744,0
72.96296296296242,14.575185601099449,1
68.68945868945805,14.166002276412636,1
66.83760683760579,13.78604633206057,1
54.456654456653865,12.916829735310811,0
54.68975468975446,13.554546592099786,1
71.21212121212145,15.423272252521436,1
81.82957393483719,22.18564036177448,0
77.1929824561402,24.034625244078985,0
78.94736842105239,24.433777777973873,0
75.43859649122804,24.804419416590573,0
68.73065015479894,24.335039209540483,1
62.919246646027176,23.89918616013681,1
40.91117216117235,22.6391366890462,1
34.98168498168489,22.225102817930544,1
35.89743589743573,21.3864821100137,0
32.30769230769172,21.278555190048625,0
32.82051282051257,21.17833733579531,1
36.66666666666652,20.594244309146553,0
38.33333333333298,19.582386587333122,0
15.555555555555983,26.633500708305892,1
34.444444444445004,24.21716023652717,0
47.22222222222239,22.662838967734423,0
62.777777777778084,21.31852480705852,0
76.1111111111116,20.07023308643088,1
83.33333333333431,18.85586140719128,0
83.93939393939486,17.7821959635366,0
57.777777777778866,29.25380614078433,0
66.66666666666735,26.561938597080665,0
66.66666666666735,26.561938597080665,1
76.54012654012661,22.64447630571141,0
80.21978021978012,22.225217024745675,0
85.71428571428595,21.40025334139247,1
85.71428571428595,20.250489922857888,1
76.19047619047632,19.182852462790052,0
73.80952380952398,18.491834369966604,1
76.62337662337724,18.068313226042694,1
80.08658008658112,17.981200619141127,1
61.53846153846101,24.98727059245132,1
64.10256410256358,25.77062932335507,0
56.410256410255954,26.14294611517559,1
48.71794871794831,26.186910541257912,1
37.60683760683783,25.845676933774147,0
37.37373737373759,26.037022757697486,1
