ema30_previous,sma100_previous,class
242.9144385936486,243.301,1
242.98529712205425,243.291,1
243.01850375934106,243.296,0
243.07295857572075,243.302,1
243.12591803017983,243.308,1
243.16900913273852,243.312,0
243.2222233899707,243.31600000000003,0
243.2645439303941,243.318,0
243.3041341133707,243.32100000000003,0
243.33673633013032,243.323,1
243.34586248731742,243.32000000000005,1
243.36493252760067,243.31400000000005,1
243.43955676419841,243.31900000000005,0
243.48380094054627,243.31800000000004,1
243.50802759313214,243.32,1
243.51103901776986,243.322,1
243.51638037919358,243.324,1
243.53831606654,243.32800000000003,1
243.56528816115448,243.33300000000003,0
243.59898958557525,243.341,1
243.61559564670355,243.34600000000003,0
243.6385908879724,243.34900000000002,1
243.6580847132489,243.353,0
243.6249990209944,243.36300000000003,0
243.564435182531,243.36900000000003,1
243.5572512959214,243.372,0
243.55900035080987,243.375,1
243.57855783038582,243.377,1
243.52979519327096,243.38500000000008,0
243.5214213098341,243.38600000000002,1
243.52850875478757,243.38800000000003,1
243.52666948028502,243.389,1
243.5378520944602,243.392,0
244.4607540082531,243.551,1
244.51612064941682,243.568,0
244.59977525694646,243.59099999999995,0
244.8740516610031,243.72600000000003,0
244.9420744841278,243.75,1
245.00309169998917,243.792,1
245.03193827759642,243.81399999999996,1
245.20260905760682,243.89200000000002,0
246.30332334604032,245.59000000000003,0
246.259489231279,245.627,0
245.99252418047746,245.679,0
246.0123613301241,245.68400000000003,0
245.9879062877316,245.703,1
246.0276145239743,245.748,1
246.06010885833803,245.768,0
246.0925246360728,245.786,1
246.22516331926442,245.854,1
246.2415524759692,245.881,0
246.25379274891387,245.893,1
246.25234010102352,245.90500000000003,0
243.21463646838947,244.915,0
243.26448111036132,244.831,1
243.28089761590496,244.799,0
243.32648786616485,244.701,0
243.34373575349878,244.67400000000006,0
243.39638398539182,244.62500000000003,0
243.39964405471613,244.59900000000005,1
243.41761487483325,244.57500000000005,0
243.42726740693783,244.41600000000003,1
243.43847632196517,244.38,0
243.4509150564587,244.365,1
243.46154236593262,244.344,0
243.47995350748016,244.317,0
243.50463737236697,244.292,1
243.50433818705292,244.267,0
243.5274488468061,244.247,1
243.5331384923867,244.223,0
243.56286053286743,244.201,0
243.45820252883306,243.917,0
243.48328075664506,243.892,0
243.50472318223603,243.866,0
243.51833061262766,243.84099999999998,0
243.518156918478,243.815,1
243.52343711728585,243.791,0
243.53293242687215,243.75899999999996,1
243.5382682930937,243.743,1
243.55374722686386,243.72599999999997,0
243.5746791326489,243.711,0
243.5878089799962,243.69400000000002,1
243.5990828143981,243.681,0
243.6066025265857,243.667,0
243.6136370960516,243.654,0
243.6109253068412,243.631,1
243.44512963700657,243.414,1
243.44564288236637,243.406,0
243.3278241255824,243.421,1
243.37421708908798,243.42999999999995,0
243.45592857880862,243.44400000000002,0
243.54728943736094,243.457,1
243.77734837128372,243.505,1
243.85644193397408,243.525,0
243.9090599954189,243.543,0
243.9582833432222,243.56,0
243.4449527612511,243.529,0
243.40234369508644,243.518,1
243.396536989618,243.51800000000003,1
243.38667114944485,243.51500000000004,1
243.39881450583863,243.51700000000002,0
243.4349719454776,243.52599999999998,1
243.50059506736,243.54500000000004,1
243.7787364802131,243.581,0
243.84584618770188,243.589,0
243.9001567717003,243.59900000000002,0
243.93806022124718,243.604,0
243.9815896951104,243.611,1
244.00980564679938,243.614,1
244.0487579907386,243.625,1
244.06860479992088,243.63200000000003,1
244.0861622437814,243.641,0
244.10601178417218,243.65200000000004,0
244.13607695205584,243.664,1
244.1482724278233,243.67500000000004,0
244.15867217268269,243.683,0
243.76964794867558,243.66600000000003,1
243.7511221222051,243.66600000000003,0
243.75568251648,243.66800000000003,0
243.74845244876752,243.67000000000004,0
243.751167227999,243.67300000000003,1
243.75370686018329,243.676,0
243.7645521100725,243.68,0
243.18844949648891,243.64499999999995,0
243.19741807780457,243.657,0
243.19741807780457,243.657,1
243.2873798290107,243.62500000000003,0
243.31198263316404,243.618,0
243.33398923361042,243.61000000000004,1
243.34812444047932,243.59600000000003,1
243.36134769851824,243.584,0
243.42990350741684,243.571,1
243.46527694348882,243.56600000000003,1
243.5048198352981,243.569,1
243.8712557949692,243.63100000000003,1
243.99727352745518,243.669,0
244.0523019226453,243.687,1
244.0793806299824,243.705,1
244.15436452698864,243.733,0
244.1833280151173,243.74400000000009,1
