sma200_previous,adi14_previous,class
243.0835,29.49350703497163,1
243.101,27.33001566438905,1
243.1065,28.138500306321497,0
243.112,28.88923604525876,1
243.1185,29.839196304385656,1
243.1245,30.127138022428827,0
243.1325,30.39451247489746,0
243.139,30.64278875218976,0
243.1455,29.65413273155519,0
243.152,28.7360949981088,1
243.157,26.808864225706376,1
243.17,23.357547893495926,1
243.1845,24.263916931273553,0
243.2035,23.099130809294962,1
243.215,20.347613516425785,1
243.22550000000004,17.624687130911788,1
243.231,16.909175483037668,1
243.238,16.711535284196447,1
243.2445,17.33874074742248,0
243.249,18.274806785425405,1
243.253,18.52174525658243,0
243.2575,18.167628804815713,1
243.2625,17.838806385318048,0
243.2855,14.047811285716715,0
243.2935,12.590495292347144,1
243.297,11.723718980900244,0
243.301,11.781263603796566,1
243.3175,11.993563461893716,1
243.3445,10.348523684005812,0
243.3475,9.84139887985757,1
243.3505,9.479940862592802,1
243.354,9.669916171077272,1
243.358,9.846321814670004,0
243.5165,36.52739609974017,1
243.5275,36.066683634769795,0
243.5395,35.901222962108825,0
243.5915,30.784253475909622,0
243.5955,30.407514357618858,1
243.5995,28.696111592936987,1
243.6045,27.828190657430497,1
243.6315,27.777909474020287,0
244.579,20.94931758949373,0
244.6355,21.726828807740823,0
244.771,20.850100747130746,0
244.78800000000004,21.022582531595226,0
244.8385,18.96465301825261,1
244.89,17.64296552108821,1
244.909,18.029949940459744,0
244.928,17.774539048536305,1
245.0005,19.521597386233346,1
245.0285,17.83628053099605,0
245.0415,16.85596897350981,1
245.0535,16.43903175848917,0
245.218,27.351905880629463,0
245.1855,24.396514368889193,1
245.17050000000003,23.5180218814308,0
245.13500000000005,20.313481744341985,0
245.1265,18.921429054368943,0
245.11,18.333946911158463,0
245.10050000000004,17.202181312156974,1
245.094,16.527741506593383,0
245.0415,16.255569177702306,1
245.024,15.199733703992365,0
245.016,14.799968119111641,1
245.007,14.428757218865249,0
244.998,14.084061382922178,0
244.98800000000003,14.132824171475516,1
244.978,13.345742014891947,0
244.971,12.614880012350055,1
244.963,11.936222438561153,0
244.958,12.060965966298456,0
244.8935,10.508742724530194,0
244.8865,10.551203324066408,0
244.8795,11.592449135621335,0
244.873,12.559320246350902,0
244.865,12.074671102857986,1
244.859,11.62463975532885,0
244.8475,10.818716270723105,1
244.841,10.894874503855435,1
244.833,10.965592863192592,0
244.824,11.471529205555143,0
244.815,11.941327237748899,1
244.807,12.816823244868123,0
244.7985,13.62978382290741,0
244.789,15.187370909879633,0
244.7695,17.210901329108648,1
244.5765,14.66350116158429,1
244.566,13.647362654291612,0
244.455,18.43783559312172,1
244.4475,19.612686809556244,0
244.44100000000003,21.5913002090508,0
244.435,23.42858408001002,1
244.4175,28.103873545614746,1
244.412,29.967589134721035,0
244.406,31.34619330779241,0
244.3975,32.62632575421583,0
244.1475,20.223506211936744,0
244.0465,14.575185601099449,1
244.033,14.166002276412636,1
244.0185,13.78604633206057,1
244.00600000000003,12.916829735310811,0
243.996,13.554546592099786,1
243.9705,15.423272252521436,1
243.949,22.18564036177448,0
243.9405,24.034625244078985,0
243.933,24.433777777973873,0
243.92550000000003,24.804419416590573,0
243.917,24.335039209540483,1
243.9075,23.89918616013681,1
243.88550000000004,22.6391366890462,1
243.874,22.225102817930544,1
243.8625,21.3864821100137,0
243.8525,21.278555190048625,0
243.841,21.17833733579531,1
243.82800000000003,20.594244309146553,0
243.815,19.582386587333122,0
243.68,26.633500708305892,1
243.6665,24.21716023652717,0
243.661,22.662838967734423,0
243.6565,21.31852480705852,0
243.652,20.07023308643088,1
243.6485,18.85586140719128,0
243.6455,17.7821959635366,0
243.5275,29.25380614078433,0
243.5315,26.561938597080665,0
243.5315,26.561938597080665,1
243.541,22.64447630571141,0
243.5445,22.225217024745675,0
243.5475,21.40025334139247,1
243.5505,20.250489922857888,1
243.5545,19.182852462790052,0
243.5655,18.491834369966604,1
243.5685,18.068313226042694,1
243.5715,17.981200619141127,1
243.5975,24.98727059245132,1
243.609,25.77062932335507,0
243.61550000000003,26.14294611517559,1
243.6205,26.186910541257912,1
243.6315,25.845676933774147,0
243.6345,26.037022757697486,1
