sma200_current,uosc_current,class
243.0855,21.73981761800549,1
243.1065,25.79184034575511,1
243.112,27.410741074107047,0
243.1185,25.458241947805533,1
243.1245,22.059716360914866,1
243.1325,22.53823196687541,0
243.139,17.008123195731017,0
243.1455,18.001621612297242,0
243.152,21.294207393056475,0
243.157,18.823053158624145,1
243.1625,18.40018779047218,1
243.178,24.898530091291583,1
243.192,20.041599065123695,0
243.209,22.632547091945906,1
243.2205,15.68505663134856,1
243.231,17.598505696236007,1
243.238,25.244667205092536,1
243.2445,25.249840853002485,1
243.249,24.48608887900327,0
243.253,20.68233353947642,1
243.2575,23.03139518331161,0
243.2625,25.313688402191204,1
243.267,27.7983641514426,0
243.289,32.136985555576594,0
243.297,31.831787260358386,1
243.301,33.67464714709917,0
243.306,30.50520907663741,1
243.3225,27.385426892815772,1
243.3475,38.083953960731904,0
243.3505,45.29616724738735,1
243.354,38.155061019383176,1
243.358,41.79587880618865,1
243.3635,42.747729538901595,0
243.5275,11.016211916399515,1
243.5395,10.700751923449292,0
243.5515,11.397583103340258,0
243.5955,25.58364296705452,0
243.598,26.44745501293643,1
243.6045,20.504068649828078,1
243.6125,20.10329201522816,1
243.643,16.042671807504803,0
244.593,18.091746962714303,0
244.6505,13.347815385319764,0
244.78800000000004,25.024668661996568,0
244.805,22.66507885341846,0
244.8545,19.125336279995143,1
244.909,18.533360537814385,1
244.928,23.974840469084764,0
244.946,26.17734288287027,1
245.0145,21.78115975099018,1
245.0415,21.20493225785105,0
245.0535,22.597534560382535,1
245.0655,17.862198395321165,0
245.2155,42.98227227399214,0
245.17050000000003,40.04091994637346,1
245.158,38.65157398992244,0
245.1265,29.467876039305487,0
245.1195,25.602943840185226,0
245.10050000000004,31.432506261682025,0
245.094,33.68136187095412,1
245.0875,33.28713458506989,0
245.0315,30.263857267044934,1
245.016,35.26533304614739,0
245.007,35.51621465746649,1
244.998,35.2383180954608,0
244.98800000000003,30.00099267330749,0
244.978,33.81157340985156,1
244.971,41.478646253021104,0
244.963,35.67655987503232,1
244.958,42.090403875300176,0
244.9515,44.50969795231997,0
244.8865,24.090984102535906,0
244.8795,23.367220712535282,0
244.873,22.030616651112343,0
244.865,20.930118181710338,0
244.859,23.598901098901,1
244.8535,20.58849779661936,0
244.841,19.07207006191723,1
244.833,23.222917307625213,1
244.824,30.54741988643785,0
244.815,35.26624442880442,0
244.807,35.5825206580791,1
244.7985,38.38355303274524,0
244.789,40.77758625813279,0
244.779,37.97508151814147,0
244.75800000000004,39.402789901124265,1
244.566,23.64773866535798,1
244.556,26.14139814600563,0
244.4475,40.707841220730856,1
244.44100000000003,38.199920714206435,0
244.435,34.934560388860234,0
244.428,31.093998491570744,1
244.412,22.414338104076982,1
244.406,21.35090829231859,0
244.3975,19.118047448054604,0
244.388,19.248889408464443,0
244.13,19.21139380253013,0
244.033,46.43433231459743,1
244.0185,56.2979917565609,1
244.00600000000003,56.73128261177804,1
243.996,56.45098948670705,0
243.9865,43.778893660313855,1
243.966,27.796629444037556,1
243.9405,21.582156528700303,0
243.933,24.40108987600564,0
243.92550000000003,21.897842594564352,0
243.917,23.470062016355136,0
243.9075,22.459849038908096,1
243.897,17.539360562863887,1
243.874,21.363808605188233,1
243.8625,21.907519585081612,1
243.8525,22.359463608892398,0
243.841,21.19047920468336,0
243.82800000000003,22.151191698592022,1
243.815,28.53547406734099,0
243.8035,26.705413759481825,0
243.6735,32.89703926646609,1
243.661,36.99339763163145,0
243.6565,30.552163548508094,0
243.652,27.50345713227412,0
243.6485,25.68820737495389,1
243.6455,25.71765347360269,0
243.6405,23.572125142941925,0
243.5285,31.488374427887784,0
243.534,28.90510468289171,0
243.534,28.90510468289171,1
243.5445,20.766228061634067,0
243.5475,21.60682454800091,0
243.5505,20.9438278518816,1
243.5545,22.39925482890425,1
243.5605,30.2793265847447,0
243.5685,27.290729283839113,1
243.5715,31.71212972033501,1
243.575,33.113674577969014,1
243.6035,25.780138262747503,1
243.61550000000003,23.77513642819716,0
243.6205,21.334289747762075,1
243.625,18.502682733675357,1
243.6345,17.408876232405245,0
243.64,19.015269484327774,1
