ema20_current,ema50_current,class
242.80804232857471,243.04244851562999,1
243.02817124666146,243.09723482203853,1
243.10911759592483,243.12724866225426,0
243.18830584822425,243.156699094496,1
243.24745301310742,243.1810730391989,1
243.32299027329418,243.2141750962919,0
243.3803219293884,243.2414438595034,0
243.43368119754837,243.26764325945183,0
243.47541036069975,243.28766645258773,0
243.4831061194764,243.2920716897411,1
243.48560563947842,243.29630417249646,1
243.56325338078815,243.3358460758752,1
243.62606399778667,243.36835825758973,0
243.6218565579633,243.3818952129344,1
243.60543272522187,243.3884166211081,1
243.57499767236592,243.39263933389682,1
243.58541488616103,243.40653350945578,1
243.60585156366957,243.42564520011646,1
243.6368412400411,243.44915619207558,0
243.63988082045898,243.46144762562298,1
243.65513026612962,243.477792216164,0
243.668927383641,243.49349584237004,1
243.67188668043715,243.50588928220586,0
243.6073040003257,243.53107009325439,0
243.53263329922112,243.51574372563167,1
243.5390491754857,243.52518394693396,0
243.54782955549385,243.53548117421505,1
243.5846293632221,243.56641740178765,1
243.4824772213984,243.5552229905087,0
243.49515763676848,243.55697895166531,1
243.49561881421917,243.55474448297244,1
243.51805922863358,243.5598271723899,1
243.53836246072282,243.5647105406536,0
244.865743807797,244.18102591608482,1
244.9529290156389,244.24318168121968,0
245.0112754815163,244.29321601201,0
245.25567103400329,244.55473397200885,0
245.29113600585944,244.59500498737748,1
245.30821094057927,244.65700775575604,1
245.30505059744948,244.69964402460653,1
245.3517326454736,244.8391419196336,0
246.35668006786668,246.10498976297816,0
246.28226323745014,246.1106962145661,0
245.91805783334868,246.0194204556496,0
245.91544746069675,246.0223405013616,0
245.90982252579633,246.03074637938067,1
246.04466204697792,246.08648833757584,1
246.09546641525884,246.10699971877625,0
246.11643357407087,246.11702277872755,1
246.32685978092744,246.21835573997515,1
246.3559530000833,246.2333196869252,0
246.35597803129951,246.23139942716784,1
246.34647686906655,246.2274737191914,0
243.3005158945725,243.47562457812992,0
243.3510051490398,243.45194484822804,1
243.360134634689,243.44254453094032,0
243.41386236904182,243.4193215270121,0
243.45450350009202,243.4223516561689,0
243.46588803621484,243.41068678503564,0
243.4801483739834,243.40829314679337,1
243.4835267748217,243.40391262419402,0
243.41758119532898,243.35169122077892,1
243.4576868138441,243.3612556220941,0
243.46826491104267,243.3712317520857,1
243.4962859986712,243.38719265139287,0
243.53264999060036,243.41503967685944,0
243.53102823747517,243.4226666918136,1
243.561107905178,243.4436001301281,0
243.56778745378688,243.45464230130239,1
243.6053778230587,243.47824336277438,0
243.60337787964505,243.48731337043762,0
243.47725870881715,243.4738747829836,0
243.51543482358952,243.4928000608603,0
243.53450022922726,243.5033799701416,0
243.52972672332132,243.50386102766103,0
243.53641941633828,243.5082447888069,1
243.54098694023128,243.5130702431192,0
243.55048787212868,243.52154726678987,1
243.56323935261327,243.53038622929424,1
243.5887635252758,243.54280013444543,0
243.5963819356714,243.55141925652737,0
243.60773809253936,243.55970037382176,1
243.61950048044707,243.56765674141843,0
243.63014264093502,243.57468748923145,0
243.63173522259427,243.5744529259767,0
243.6373136549837,243.580026773318,1
243.3992271261044,243.4807546650657,1
243.4058490030877,243.48089577871468,0
243.3799187624617,243.4136662072789,1
243.50593417329483,243.46363079689957,0
243.64494681463356,243.52131994420768,0
243.73470987928033,243.56314125002723,1
244.05805512794174,243.72565081729766,1
244.11651058343682,243.76031268948935,0
244.16791108290508,243.7936152725756,0
244.20340471739672,243.82169030338383,0
243.30443871360828,243.47943632327932,0
243.30165569150776,243.4577724455459,1
243.3139973557042,243.45673407018205,1
243.35671059146011,243.46750112130297,1
243.4423777568309,243.49598663110697,0
243.50976514423428,243.51489831947208,1
243.70404274295217,243.58457806898528,1
244.06405391858522,243.76641211403037,0
244.12193806068558,243.8031571362052,0
244.15079849893291,243.82939082912742,0
244.179885863592,243.85398214441014,0
244.19370365394352,243.87736915796813,1
244.18567007542484,243.8895414750127,1
244.21079869360514,243.913461844291,1
244.22316017469691,243.9228578186069,1
244.24238041160982,243.93519328660145,0
244.27226949887117,243.95342100085227,0
244.27282553840038,243.96124994942073,1
244.26737754262746,243.96570385355844,0
244.25441236386013,243.9666751315292,0
243.60600040182243,243.7866210868114,1
243.6309064056638,243.79681520218614,0
243.64105947834895,243.8000081230579,0
243.6597694012546,243.8051565838701,0
243.67520965695155,243.81255756573015,1
243.7031665309972,243.82358988163492,0
243.71744926629685,243.82904077833697,0
243.0698260548477,243.32024394552025,0
243.1383383351474,243.32228789451136,0
243.1383383351474,243.32228789451136,1
243.35168511790573,243.36140400928653,0
243.3982478919212,243.3716142565921,0
243.4323400762957,243.3768889280473,1
243.45723430681159,243.38257035500945,1
243.51279239616932,243.4034753190044,0
243.5914204416193,243.4409310230653,1
243.6481860179817,243.4659233235105,1
243.71710519823483,243.49961948710109,1
244.18370312764912,243.73536917847224,1
244.3003834654829,243.8156778387047,0
244.3122491032734,243.83835249684574,1
244.3134608707981,243.85560277871136,1
244.38292331426982,243.91716470418132,0
244.39198851423717,243.93916744850443,1
