ema20_current,sma100_previous,class
242.80804232857471,243.301,1
243.02817124666146,243.291,1
243.10911759592483,243.296,0
243.18830584822425,243.302,1
243.24745301310742,243.308,1
243.32299027329418,243.312,0
243.3803219293884,243.31600000000003,0
243.43368119754837,243.318,0
243.47541036069975,243.32100000000003,0
243.4831061194764,243.323,1
243.48560563947842,243.32000000000005,1
243.56325338078815,243.31400000000005,1
243.62606399778667,243.31900000000005,0
243.6218565579633,243.31800000000004,1
243.60543272522187,243.32,1
243.57499767236592,243.322,1
243.58541488616103,243.324,1
243.60585156366957,243.32800000000003,1
243.6368412400411,243.33300000000003,0
243.63988082045898,243.341,1
243.65513026612962,243.34600000000003,0
243.668927383641,243.34900000000002,1
243.67188668043715,243.353,0
243.6073040003257,243.36300000000003,0
243.53263329922112,243.36900000000003,1
243.5390491754857,243.372,0
243.54782955549385,243.375,1
243.5846293632221,243.377,1
243.4824772213984,243.38500000000008,0
243.49515763676848,243.38600000000002,1
243.49561881421917,243.38800000000003,1
243.51805922863358,243.389,1
243.53836246072282,243.392,0
244.865743807797,243.551,1
244.9529290156389,243.568,0
245.0112754815163,243.59099999999995,0
245.25567103400329,243.72600000000003,0
245.29113600585944,243.75,1
245.30821094057927,243.792,1
245.30505059744948,243.81399999999996,1
245.3517326454736,243.89200000000002,0
246.35668006786668,245.59000000000003,0
246.28226323745014,245.627,0
245.91805783334868,245.679,0
245.91544746069675,245.68400000000003,0
245.90982252579633,245.703,1
246.04466204697792,245.748,1
246.09546641525884,245.768,0
246.11643357407087,245.786,1
246.32685978092744,245.854,1
246.3559530000833,245.881,0
246.35597803129951,245.893,1
246.34647686906655,245.90500000000003,0
243.3005158945725,244.915,0
243.3510051490398,244.831,1
243.360134634689,244.799,0
243.41386236904182,244.701,0
243.45450350009202,244.67400000000006,0
243.46588803621484,244.62500000000003,0
243.4801483739834,244.59900000000005,1
243.4835267748217,244.57500000000005,0
243.41758119532898,244.41600000000003,1
243.4576868138441,244.38,0
243.46826491104267,244.365,1
243.4962859986712,244.344,0
243.53264999060036,244.317,0
243.53102823747517,244.292,1
243.561107905178,244.267,0
243.56778745378688,244.247,1
243.6053778230587,244.223,0
243.60337787964505,244.201,0
243.47725870881715,243.917,0
243.51543482358952,243.892,0
243.53450022922726,243.866,0
243.52972672332132,243.84099999999998,0
243.53641941633828,243.815,1
243.54098694023128,243.791,0
243.55048787212868,243.75899999999996,1
243.56323935261327,243.743,1
243.5887635252758,243.72599999999997,0
243.5963819356714,243.711,0
243.60773809253936,243.69400000000002,1
243.61950048044707,243.681,0
243.63014264093502,243.667,0
243.63173522259427,243.654,0
243.6373136549837,243.631,1
243.3992271261044,243.414,1
243.4058490030877,243.406,0
243.3799187624617,243.421,1
243.50593417329483,243.42999999999995,0
243.64494681463356,243.44400000000002,0
243.73470987928033,243.457,1
244.05805512794174,243.505,1
244.11651058343682,243.525,0
244.16791108290508,243.543,0
244.20340471739672,243.56,0
243.30443871360828,243.529,0
243.30165569150776,243.518,1
243.3139973557042,243.51800000000003,1
243.35671059146011,243.51500000000004,1
243.4423777568309,243.51700000000002,0
243.50976514423428,243.52599999999998,1
243.70404274295217,243.54500000000004,1
244.06405391858522,243.581,0
244.12193806068558,243.589,0
244.15079849893291,243.59900000000002,0
244.179885863592,243.604,0
244.19370365394352,243.611,1
244.18567007542484,243.614,1
244.21079869360514,243.625,1
244.22316017469691,243.63200000000003,1
244.24238041160982,243.641,0
244.27226949887117,243.65200000000004,0
244.27282553840038,243.664,1
244.26737754262746,243.67500000000004,0
244.25441236386013,243.683,0
243.60600040182243,243.66600000000003,1
243.6309064056638,243.66600000000003,0
243.64105947834895,243.66800000000003,0
243.6597694012546,243.67000000000004,0
243.67520965695155,243.67300000000003,1
243.7031665309972,243.676,0
243.71744926629685,243.68,0
243.0698260548477,243.64499999999995,0
243.1383383351474,243.657,0
243.1383383351474,243.657,1
243.35168511790573,243.62500000000003,0
243.3982478919212,243.618,0
243.4323400762957,243.61000000000004,1
243.45723430681159,243.59600000000003,1
243.51279239616932,243.584,0
243.5914204416193,243.571,1
243.6481860179817,243.56600000000003,1
243.71710519823483,243.569,1
244.18370312764912,243.63100000000003,1
244.3003834654829,243.669,0
244.3122491032734,243.687,1
244.3134608707981,243.705,1
244.38292331426982,243.733,0
244.39198851423717,243.74400000000009,1
