sma20_current,adi14_previous,class
242.86999999999995,29.49350703497163,1
242.94,27.33001566438905,1
242.965,28.138500306321497,0
243.01000000000005,28.88923604525876,1
243.045,29.839196304385656,1
243.09,30.127138022428827,0
243.13,30.39451247489746,0
243.175,30.64278875218976,0
243.23,29.65413273155519,0
243.28,28.7360949981088,1
243.315,26.808864225706376,1
243.40999999999997,23.357547893495926,1
243.51,24.263916931273553,0
243.62,23.099130809294962,1
243.645,20.347613516425785,1
243.635,17.624687130911788,1
243.63,16.909175483037668,1
243.63,16.711535284196447,1
243.64,17.33874074742248,0
243.63,18.274806785425405,1
243.63,18.52174525658243,0
243.63,18.167628804815713,1
243.63,17.838806385318048,0
243.605,14.047811285716715,0
243.58,12.590495292347144,1
243.58,11.723718980900244,0
243.5900000000001,11.781263603796566,1
243.61,11.993563461893716,1
243.49499999999995,10.348523684005812,0
243.49999999999997,9.84139887985757,1
243.5,9.479940862592802,1
243.51,9.669916171077272,1
243.52,9.846321814670004,0
244.305,36.52739609974017,1
244.39500000000004,36.066683634769795,0
244.48,35.901222962108825,0
245.21,30.784253475909622,0
245.315,30.407514357618858,1
245.4650000000001,28.696111592936987,1
245.425,27.828190657430497,1
245.31,27.777909474020287,0
246.345,20.94931758949373,0
246.335,21.726828807740823,0
246.04,20.850100747130746,0
246.005,21.022582531595226,0
245.92,18.96465301825261,1
245.965,17.64296552108821,1
245.99,18.029949940459744,0
245.99500000000003,17.774539048536305,1
246.11,19.521597386233346,1
246.195,17.83628053099605,0
246.245,16.85596897350981,1
246.295,16.43903175848917,0
243.23,27.351905880629463,0
243.27500000000003,24.396514368889193,1
243.29,23.5180218814308,0
243.385,20.313481744341985,0
243.43,18.921429054368943,0
243.445,18.333946911158463,0
243.45,17.202181312156974,1
243.455,16.527741506593383,0
243.445,16.255569177702306,1
243.47000000000003,15.199733703992365,0
243.46000000000004,14.799968119111641,1
243.48,14.428757218865249,0
243.505,14.084061382922178,0
243.51,14.132824171475516,1
243.525,13.345742014891947,0
243.53500000000003,12.614880012350055,1
243.555,11.936222438561153,0
243.55,12.060965966298456,0
243.52,10.508742724530194,0
243.545,10.551203324066408,0
243.55,11.592449135621335,0
243.545,12.559320246350902,0
243.545,12.074671102857986,1
243.54000000000005,11.62463975532885,0
243.53500000000008,10.818716270723105,1
243.53000000000003,10.894874503855435,1
243.54000000000005,10.965592863192592,0
243.53000000000003,11.471529205555143,0
243.535,11.941327237748899,1
243.545,12.816823244868123,0
243.555,13.62978382290741,0
243.57,15.187370909879633,0
243.61000000000004,17.210901329108648,1
243.44,14.66350116158429,1
243.43,13.647362654291612,0
243.335,18.43783559312172,1
243.4,19.612686809556244,0
243.485,21.5913002090508,0
243.545,23.42858408001002,1
243.74,28.103873545614746,1
243.795,29.967589134721035,0
243.84500000000003,31.34619330779241,0
243.89,32.62632575421583,0
243.435,20.223506211936744,0
243.205,14.575185601099449,1
243.215,14.166002276412636,1
243.235,13.78604633206057,1
243.285,12.916829735310811,0
243.36499999999995,13.554546592099786,1
243.56,15.423272252521436,1
243.805,22.18564036177448,0
243.86000000000004,24.034625244078985,0
243.90000000000003,24.433777777973873,0
243.95000000000005,24.804419416590573,0
243.99,24.335039209540483,1
244.025,23.89918616013681,1
244.105,22.6391366890462,1
244.14999999999995,22.225102817930544,1
244.19,21.3864821100137,0
244.23999999999995,21.278555190048625,0
244.265,21.17833733579531,1
244.27,20.594244309146553,0
244.28,19.582386587333122,0
243.775,26.633500708305892,1
243.735,24.21716023652717,0
243.715,22.662838967734423,0
243.695,21.31852480705852,0
243.67,20.07023308643088,1
243.66,18.85586140719128,0
243.64499999999992,17.7821959635366,0
243.08,29.25380614078433,0
243.08,26.561938597080665,0
243.08,26.561938597080665,1
243.19499999999996,22.64447630571141,0
243.23999999999995,22.225217024745675,0
243.29,21.40025334139247,1
243.32,20.250489922857888,1
243.365,19.182852462790052,0
243.425,18.491834369966604,1
243.485,18.068313226042694,1
243.54,17.981200619141127,1
243.90000000000003,24.98727059245132,1
244.04500000000007,25.77062932335507,0
244.08500000000004,26.14294611517559,1
244.12500000000009,26.186910541257912,1
244.225,25.845676933774147,0
244.24999999999997,26.037022757697486,1
