ema100_previous,stochk_14_previous,class
243.196788730931,51.515151515151786,1
243.1984617360954,73.52207977208016,1
243.2059823509734,75.04713423831045,0
243.21960454887298,80.02450980392116,1
243.23295700028004,82.10784313725487,1
243.24344502462958,85.60924369747927,0
243.2576857613686,86.30952380952391,0
243.26904448124196,88.09523809523813,0
243.28048818799888,87.91208791208794,0
243.28941517665172,89.92673992674055,1
243.29067523904556,84.61538461538484,1
243.29510120075506,65.59829059829039,1
243.31832599968052,65.40404040404047,0
243.33423429927083,61.11111111111219,1
243.34333429981152,37.50000000000088,1
243.3461699534798,37.50000000000088,1
243.3498359170736,37.50000000000088,1
243.3580095074276,33.333333333334515,1
243.36831135455623,45.83333333333361,0
243.38131913882043,62.500000000000284,1
243.38917921106997,75.00000000000058,0
243.3982440122856,75.00000000000058,1
243.40743922451642,70.83333333333421,0
243.4280617262874,16.6666666666659,0
243.4261872955911,25.92592592592545,1
243.42857866939048,31.48148148148163,0
243.43290288727312,29.62962962962989,1
243.44520989795586,80.95238095237848,1
243.4523268108566,28.57142857143036,0
243.45160054841358,33.333333333334735,1
243.4551589754741,34.92063492063627,1
243.4563568285833,42.06349206349282,1
243.4621111819273,44.44444444444498,0
243.79891034944708,52.97181372549016,1
243.82994300544357,47.91666666666654,0
243.8701414176561,44.27083333333314,0
244.06698771434986,22.555018786902732,0
244.10478228197974,32.555018786902735,1
244.1605821420248,53.0303030303026,1
244.18798273851326,59.44055944055873,1
244.29215725348308,74.81146304675703,0
245.8291511277565,42.222222222221696,0
245.8574713615745,8.88888888888836,0
245.85604198450312,38.88888888888905,0
245.86638279248183,54.761904761904546,0
245.87607307843425,66.66666666666664,1
245.9107613532351,65.07936507936472,1
245.92862768583853,73.01587301587256,0
245.94552040561916,79.36507936507894,1
246.02046517632968,80.37741412354431,1
246.04163667268475,73.01587301587355,0
246.05245192054863,58.333333333333705,1
246.0590926090496,49.99999999999997,0
244.254322216065,73.3333333333339,0
244.18481345280463,73.08080808080898,1
244.15737520939186,62.247474747475366,0
244.0854531053185,41.666666666667254,0
244.06549234972576,45.83333333333361,0
244.03414825579983,49.99999999999999,0
244.01353315183098,54.166666666666366,1
243.9979064878408,50.0,0
243.88286031894748,50.83333333333227,1
243.85491179066432,46.6666666666659,0
243.845215351992,56.66666666666533,1
243.83385144982952,66.66666666666477,0
243.82283330127632,79.99999999999828,0
243.8146333559607,83.33333333333142,1
243.8006551917408,86.66666666666458,0
243.79444397705845,83.33333333333144,1
243.78315571256888,86.66666666666553,0
243.7786513961876,79.74358974358908,0
243.62661089167355,27.272727272726726,0
243.62229653862755,36.3636363636362,0
243.61775770628597,54.54545454545517,0
243.61163846582176,66.66666666666752,0
243.6013700903672,75.757575757577,1
243.59390507115882,63.63636363636465,0
243.58436189078486,48.48484848484856,1
243.57971296384312,51.51515151515144,1
243.57682638085092,48.48484848484856,0
243.57659697999665,48.48484848484856,0
243.5737720996549,56.666666666667226,1
243.57224280565552,61.515151515151814,0
243.570433882676,57.61904761904742,0
243.5689706919833,43.80952380952266,0
243.56312693721958,40.47619047618873,1
243.45556562196705,66.66666666666802,1
243.45396621440563,66.66666666666802,0
243.42345827477791,36.66666666666661,1
243.43766415086878,42.31884057970973,0
243.4630392727289,51.76328502415447,0
243.49156240093876,71.20772946859908,1
243.57290930380054,70.00000000000016,1
243.60340637005638,72.22222222222223,0
243.62673911589187,77.77777777777784,0
243.64929991512696,79.99999999999993,0
243.51850261103328,64.35185185185192,0
243.49592542280257,72.96296296296242,1
243.49600610749957,68.68945868945805,1
243.49317526037171,66.83760683760579,1
243.4978906238292,54.456654456653865,0
243.512602790038,54.68975468975446,1
243.5410269315197,71.21212121212145,1
243.6277891318433,81.82957393483719,0
243.64952012843827,77.1929824561402,0
243.669460434308,78.94736842105239,0
243.68349592644898,75.43859649122804,0
243.6978733121113,68.73065015479894,1
243.7087461509301,62.919246646027176,1
243.7275116317107,40.91117216117235,1
243.73903722122918,34.98168498168489,1
243.7509544053113,35.89743589743573,0
243.765235627629,32.30769230769172,0
243.78152416351418,32.82051282051257,1
243.79321984606514,36.66666666666652,0
243.8037541948537,38.33333333333298,0
243.73284957923732,15.555555555555983,1
243.73156148672714,34.444444444445004,0
243.73551672689067,47.22222222222239,0
243.73741344744647,62.777777777778084,0
243.74156271922902,76.1111111111116,1
243.74562982721366,83.33333333333431,0
243.751906508456,83.93939393939486,0
243.52681253462097,57.777777777778866,0
243.5216854810329,66.66666666666735,0
243.5216854810329,66.66666666666735,1
243.518438813644,76.54012654012661,0
243.51986470045483,80.21978021978012,0
243.52095243985409,85.71428571428595,1
243.51817896966287,85.71428571428595,1
243.51608024373226,76.19047619047632,0
243.52516221137554,73.80952380952398,1
243.5310351816962,76.62337662337724,1
243.5412513498301,80.08658008658112,1
243.65359815238145,61.53846153846101,1
243.70239291611657,64.10256410256358,0
243.72574573034674,56.410256410255954,1
243.74269551855275,48.71794871794831,1
243.7791260172029,37.60683760683783,0
243.79482958383943,37.37373737373759,1
