sma10_current,stochk_14_previous,class
242.71,51.515151515151786,1
243.01,73.52207977208016,1
243.12000000000003,75.04713423831045,0
243.22000000000003,80.02450980392116,1
243.32,82.10784313725487,1
243.44,85.60924369747927,0
243.55,86.30952380952391,0
243.64000000000004,88.09523809523813,0
243.71,87.91208791208794,0
243.7,89.92673992674055,1
243.68,84.61538461538484,1
243.7,65.59829059829039,1
243.7,65.40404040404047,0
243.6,61.11111111111219,1
243.59,37.50000000000088,1
243.59,37.50000000000088,1
243.56,37.50000000000088,1
243.57,33.333333333334515,1
243.58,45.83333333333361,0
243.59,62.500000000000284,1
243.63,75.00000000000058,0
243.66000000000003,75.00000000000058,1
243.67,70.83333333333421,0
243.63,16.6666666666659,0
243.5,25.92592592592545,1
243.49,31.48148148148163,0
243.48,29.62962962962989,1
243.53,80.95238095237848,1
243.51,28.57142857143036,0
243.51,33.333333333334735,1
243.49,34.92063492063627,1
243.48999999999995,42.06349206349282,1
243.51,44.44444444444498,0
245.44,52.97181372549016,1
245.65,47.91666666666654,0
245.79,44.27083333333314,0
245.17,22.555018786902732,0
245.19,32.555018786902735,1
245.14,53.0303030303026,1
245.19,59.44055944055873,1
245.38,74.81146304675703,0
246.39,42.222222222221696,0
246.3,8.88888888888836,0
245.78000000000003,38.88888888888905,0
245.76,54.761904761904546,0
245.79,66.66666666666664,1
246.14,65.07936507936472,1
246.22,73.01587301587256,0
246.21000000000004,79.36507936507894,1
246.47000000000003,80.37741412354431,1
246.52000000000004,73.01587301587355,0
246.49,58.333333333333705,1
246.45,49.99999999999997,0
243.4,73.3333333333339,0
243.41000000000003,73.08080808080898,1
243.40000000000003,62.247474747475366,0
243.42,41.666666666667254,0
243.46,45.83333333333361,0
243.49,49.99999999999999,0
243.47,54.166666666666366,1
243.49,50.0,0
243.43,50.83333333333227,1
243.45,46.6666666666659,0
243.45,56.66666666666533,1
243.47,66.66666666666477,0
243.48,79.99999999999828,0
243.48,83.33333333333142,1
243.54,86.66666666666458,0
243.57,83.33333333333144,1
243.64,86.66666666666553,0
243.67,79.74358974358908,0
243.40000000000003,27.272727272726726,0
243.42,36.3636363636362,0
243.44,54.54545454545517,0
243.44,66.66666666666752,0
243.47,75.757575757577,1
243.51,63.63636363636465,0
243.6,48.48484848484856,1
243.63,51.51515151515144,1
243.67,48.48484848484856,0
243.66,48.48484848484856,0
243.64999999999995,56.666666666667226,1
243.64999999999995,61.515151515151814,0
243.67,57.61904761904742,0
243.67,43.80952380952266,0
243.67,40.47619047618873,1
243.32,66.66666666666802,1
243.34,66.66666666666802,0
243.3,36.66666666666661,1
243.44,42.31884057970973,0
243.58,51.76328502415447,0
243.71,71.20772946859908,1
244.17,70.00000000000016,1
244.36000000000004,72.22222222222223,0
244.53000000000003,77.77777777777784,0
244.53000000000003,79.99999999999993,0
243.09,64.35185185185192,0
243.38,72.96296296296242,1
243.39,68.68945868945805,1
243.42,66.83760683760579,1
243.48,54.456654456653865,0
243.54,54.68975468975446,1
243.75,71.21212121212145,1
244.22,81.82957393483719,0
244.3,77.1929824561402,0
244.32,78.94736842105239,0
244.36000000000004,75.43859649122804,0
244.41,68.73065015479894,1
244.4,62.919246646027176,1
244.37,40.91117216117235,1
244.31,34.98168498168489,1
244.28000000000003,35.89743589743573,0
244.26,32.30769230769172,0
244.23,32.82051282051257,1
244.22,36.66666666666652,0
244.2,38.33333333333298,0
243.42,15.555555555555983,1
243.48,34.444444444445004,0
243.52000000000004,47.22222222222239,0
243.57,62.777777777778084,0
243.63,76.1111111111116,1
243.7,83.33333333333431,0
243.77000000000004,83.93939393939486,0
243.09,57.777777777778866,0
243.13,66.66666666666735,0
243.13,66.66666666666735,1
243.4,76.54012654012661,0
243.48999999999995,80.21978021978012,0
243.52,85.71428571428595,1
243.56,85.71428571428595,1
243.64,76.19047619047632,0
243.72000000000003,73.80952380952398,1
243.78000000000003,76.62337662337724,1
243.83,80.08658008658112,1
244.28,61.53846153846101,1
244.45,64.10256410256358,0
244.5,56.410256410255954,1
244.53,48.71794871794831,1
244.62,37.60683760683783,0
244.61,37.37373737373759,1
