sma200_previous,macd_12_26_previous,class
243.0835,-0.1337023578838057,1
243.101,0.0718227186549143,1
243.1065,0.12682504136861894,0
243.112,0.1905253506889153,1
243.1185,0.2345323651046556,1
243.1245,0.2591456587062737,0
243.1325,0.2908785881535607,0
243.139,0.3080925934912955,0
243.1455,0.3199307683841539,0
243.152,0.3183861695091537,1
243.157,0.2775441674219508,1
243.17,0.20710927546488733,1
243.1845,0.20165745529271814,0
243.2035,0.0928637293278598,1
243.215,0.03902717971513425,1
243.22550000000004,-0.024329775267545983,1
243.231,-0.03149576330866921,1
243.238,-0.019570723288950376,1
243.2445,-0.0021188470064146263,0
243.249,0.008904161459867055,1
243.253,0.010205171747799113,0
243.2575,0.018729063130194845,1
243.2625,0.028469605969064563,0
243.2855,-0.004725512820897393,0
243.2935,-0.07827023907455555,1
243.297,-0.07566565891602295,0
243.301,-0.06050809276126756,1
243.3175,-0.02326748620757257,1
243.3445,-0.03668713125549061,0
243.3475,-0.03882043863879403,1
243.3505,-0.022322784941934515,1
243.354,-0.02013872107414727,1
243.358,0.0015673193133807215,0
243.5165,0.7797795650313049,1
243.5275,0.7297572968053885,0
243.5395,0.7196259668604057,0
243.5915,0.19342405207081012,0
243.5955,0.17764630974522788,1
243.5995,0.08959585952706561,1
243.6045,0.05700402546034411,1
243.6315,0.0634161183641595,0
244.579,0.08094530992821093,0
244.6355,-0.055702065088922836,0
244.771,-0.1979721459049415,0
244.78800000000004,-0.13178172017259726,0
244.8385,-0.0909764807263116,1
244.89,0.03354662755606341,1
244.909,0.09849970845419877,0
244.928,0.15662089614417596,1
245.0005,0.2551660048045505,1
245.0285,0.20836379929249915,0
245.0415,0.1938630133359993,1
245.0535,0.160980668429346,0
245.218,0.12465988930847514,0
245.1855,0.11920721728205308,1
245.17050000000003,0.09067777347249263,0
245.13500000000005,0.0621082347476829,0
245.1265,0.06203469308994159,0
245.11,0.08435726888487237,0
245.10050000000004,0.06881273874401472,1
245.094,0.07276303079814284,0
245.0415,-0.02625713168032462,1
245.024,-0.014632209954299926,0
245.016,-0.003013091751000729,1
245.007,0.007005956479360975,0
244.998,0.029581846751199237,0
244.98800000000003,0.04921625113934169,1
244.978,0.03825492998095115,0
244.971,0.05172719668613013,1
244.963,0.0484992841704468,0
244.958,0.0846987068671865,0
244.8935,-0.07438483060266776,0
244.8865,-0.037168028456505915,0
244.8795,-0.004310280983958137,0
244.873,0.007219187602032663,0
244.865,0.002255794306421421,1
244.859,0.006299028708184551,0
244.8475,0.016092245237274483,1
244.841,0.02404070627056853,1
244.833,0.04285771744895328,0
244.824,0.06943013003984788,0
244.815,0.07394393191543712,1
244.807,0.07814985831404897,0
244.7985,0.07266457982714769,0
244.789,0.06406546134567748,0
244.7695,0.045882300482332994,1
244.5765,-0.07842963261808222,1
244.566,-0.05937556254858122,0
244.455,0.0005869406725196312,1
244.4475,0.06274715405439224,0
244.44100000000003,0.15582042757469594,0
244.435,0.24538621995904464,1
244.4175,0.4097479303741807,1
244.412,0.4436799919469081,0
244.406,0.4375541252802577,0
244.3975,0.4230473103599763,0
244.1475,-0.2480501683870955,0
244.0465,0.03650554513575344,1
244.033,0.06635131947479067,1
244.0185,0.07674353461939631,1
244.00600000000003,0.10421059682659006,0
243.996,0.17124704945547364,1
243.9705,0.21491705052076784,1
243.949,0.3659322977125328,0
243.9405,0.3793532015095025,0
243.933,0.3671659246579111,0
243.92550000000003,0.3402430245924961,0
243.917,0.3106636093045836,1
243.9075,0.2654168359564437,1
243.88550000000004,0.19395503921435875,1
243.874,0.16493463663729813,1
243.8625,0.13543830961705794,0
243.8525,0.11386364032782124,0
243.841,0.09449580349021858,1
243.82800000000003,0.060957060129226186,0
243.815,0.031672475444622705,0
243.68,-0.28207550303474704,1
243.6665,-0.19376704971193706,0
243.661,-0.13532989786270375,0
243.6565,-0.09331999406211366,0
243.652,-0.04870552330271494,1
243.6485,-0.010536825017112506,0
243.6455,0.02780711649523937,0
243.5275,-0.07599369002784329,0
243.5315,0.00473563387691911,0
243.5315,0.00473563387691911,1
243.541,0.1705511231326966,0
243.5445,0.1896293242305376,0
243.5475,0.20410365901540214,1
243.5505,0.20584891528389448,1
243.5545,0.21152674575094466,0
243.5655,0.22721605576617776,1
243.5685,0.23257107149584044,1
243.5715,0.23418957531265505,1
243.5975,0.4247405747289577,1
243.609,0.39997542284586973,0
243.61550000000003,0.3862044937837936,1
243.6205,0.3424731753056278,1
243.6315,0.28278152386968713,0
243.6345,0.25111569541053314,1
