ema10_previous,uosc_previous,class
242.71412565586436,21.379885046451914,1
243.10379487591626,28.3890230229244,1
243.19277496110772,25.79184034575511,0
243.33424129512343,27.410741074107047,1
243.44716267918275,25.458241947805533,1
243.52137108432208,22.059716360914866,0
243.62409828516158,22.53823196687541,0
243.6871421966221,17.008123195731017,0
243.7330759820916,18.001621612297242,0
243.74682875538662,21.294207393056475,1
243.68094518336272,18.823053158624145,1
243.60163179988075,19.400939442852376,1
243.68057527488227,22.734051092864657,0
243.61577470198813,19.806918388699184,1
243.58592895177216,23.976680400614004,1
243.52446483548383,16.410981582396726,1
243.5200166835776,17.598505696236007,1
243.5442695279754,25.244667205092536,1
243.5935897757516,25.249840853002485,0
243.65212452393232,24.48608887900327,1
243.66365295426186,20.68233353947642,0
243.69973851948325,23.03139518331161,1
243.72643927452896,25.313688402191204,0
243.59084244749508,26.07199817726034,0
243.4495929163659,23.841362363563217,1
243.45028644571119,31.831787260358386,0
243.47468329362832,33.67464714709917,1
243.55561245998678,25.12902520365177,1
243.47623816563598,34.5283789301762,0
243.45672908434034,38.083953960731904,1
243.48277834173297,45.29616724738735,1
243.48026195569247,38.155061019383176,1
243.52021432738465,41.79587880618865,0
245.53321954948075,16.78437534159132,1
245.50810452669404,11.016211916399515,0
245.5659307410485,10.700751923449292,0
245.12991604518257,25.46232298297667,0
245.22668104841838,25.58364296705452,1
245.2078806496128,25.773341714390234,1
245.2036240059114,20.504068649828078,1
245.4310849109149,18.12724943793112,0
246.41865419052056,26.85638496189079,0
246.1997872983417,10.411822660098213,0
245.7362154839397,27.989222883602626,0
245.83872175958703,25.024668661996568,0
245.87685030515075,18.11371851699863,1
246.11325995708577,17.01057028925865,1
246.2231095049664,18.533360537814385,0
246.29604361787418,23.974840469084764,1
246.56493715452262,30.05736330544499,1
246.50711977555991,24.4884357996983,0
246.49611484768258,21.20493225785105,1
246.4338043895158,22.597534560382535,0
243.3711712438205,33.06260287190153,0
243.42963990254498,54.05018125867856,1
243.40324521285584,40.04091994637346,0
243.41424973454428,31.2064848112204,0
243.4354882885344,29.467876039305487,0
243.52246127515772,28.43357734007535,0
243.50019558876545,31.432506261682025,1
243.512694248719,33.68136187095412,0
243.39151836631362,34.19879062736174,1
243.40656829370056,37.75182677789487,0
243.4473852914805,35.26533304614739,1
243.4751334203021,35.51621465746649,0
243.52166584960904,35.2383180954608,0
243.57509585708831,30.00099267330749,1
243.5614420648904,33.81157340985156,0
243.6217590248139,41.478646253021104,1
243.6262742334359,35.67655987503232,0
243.69580914285018,42.090403875300176,0
243.34542740393653,19.91795366795364,0
243.4252531685399,24.090984102535906,0
243.49903655271262,23.367220712535282,0
243.54122295794483,22.030616651112343,0
243.53372787468217,20.930118181710338,1
243.55424874696445,23.598901098901,0
243.5899098431678,22.619047619047183,1
243.6058634087236,19.07207006191723,1
243.63145054754384,23.222917307625213,0
243.67339109580487,30.54741988643785,0
243.67540528006856,35.26624442880442,1
243.6770532490116,35.5825206580791,0
243.6812253855549,38.38355303274524,0
243.69028654845218,40.77758625813279,0
243.66043975557545,34.37470350558354,1
243.3488013138351,24.869169266583878,1
243.37911578236424,23.64773866535798,0
243.31544699070977,45.57283897040844,1
243.45403016580346,40.707841220730856,0
243.68373967573535,38.199920714206435,0
243.90804745658886,34.934560388860234,1
244.35995771947742,30.68327462737411,1
244.48232238160404,22.414338104076982,0
244.5391886620677,21.35090829231859,0
244.58006802217602,19.118047448054604,0
243.21175779073772,17.842639591114217,0
243.3753495895052,34.670474419431535,1
243.39236570386976,46.43433231459743,1
243.3965775560289,56.2979917565609,1
243.46021666806632,56.73128261177804,0
243.59348370013961,56.45098948670705,1
243.77959338601846,34.2869896061393,1
244.30608611173585,22.53983931420083,0
244.3934105803183,21.582156528700303,0
244.435380861344,24.40108987600564,0
244.41641375591598,21.897842594564352,0
244.40654281174577,23.470062016355136,1
244.3831085648328,22.459849038908096,1
244.2876905629889,19.436342599255358,1
244.2660992276292,21.363808605188233,1
244.23713839633845,21.907519585081612,0
244.24009638387054,22.359463608892398,0
244.2635221719869,21.19047920468336,1
244.24350129121933,22.151191698592022,0
244.23276816722571,28.53547406734099,0
243.39169214832455,26.59404670959333,1
243.4992596959261,36.42787091953472,0
243.58341676266312,36.99339763163145,0
243.63409072635716,30.552163548508094,0
243.69655685860582,27.50345713227412,1
243.750489310581,25.68820737495389,0
243.8156214786961,25.71765347360269,0
243.0938628480981,34.00538772919588,0
243.17940070676468,33.481268901568875,0
243.17940070676468,33.481268901568875,1
243.48602225867037,23.72247823860724,0
243.54469389076928,20.766228061634067,0
243.59834555003025,21.60682454800091,1
243.60711775406742,20.9438278518816,1
243.61711881023328,22.39925482890425,0
243.71940587343246,25.296009491734647,1
243.76636016075832,27.290729283839113,1
243.8257829214331,31.71212972033501,1
244.4744783595258,27.759254094145373,1
244.5673149042939,24.262813752372452,0
244.59302423718844,23.77513642819716,1
244.55386609474056,21.334289747762075,1
244.5544923880077,17.643596875088612,0
244.53205045954988,17.408876232405245,1
