sma20_previous,sma30_previous,class
242.89,243.07,1
242.925,243.02,1
242.94,243.02,0
242.965,243.03333333333336,1
243.01000000000005,243.0533333333333,1
243.045,243.07333333333332,0
243.09,243.09333333333333,0
243.13,243.11,0
243.175,243.1266666666667,0
243.23,243.15,1
243.28,243.16666666666663,1
243.345,243.18666666666664,1
243.455,243.23666666666665,0
243.59,243.29666666666668,1
243.65,243.35,1
243.635,243.40666666666667,1
243.635,243.42666666666665,1
243.63,243.46,1
243.63,243.4933333333333,0
243.64,243.53333333333333,1
243.63,243.56666666666663,0
243.63,243.6033333333333,1
243.63,243.63333333333333,0
243.615,243.64,0
243.58,243.59666666666664,1
243.58,243.58666666666667,0
243.58,243.58333333333331,1
243.61000000000004,243.60333333333335,1
243.50999999999996,243.56333333333333,0
243.49499999999995,243.56333333333333,1
243.49999999999997,243.57,1
243.5,243.57,1
243.51,243.57,0
244.235,243.98666666666665,1
244.305,244.03333333333333,0
244.39500000000004,244.1,0
245.085,244.4766666666666,0
245.21,244.54666666666665,1
245.40000000000003,244.64666666666665,1
245.4650000000001,244.7,1
245.33,244.9533333333333,0
246.36,246.16666666666663,0
246.335,246.22,0
246.05,246.15,0
246.04,246.15,0
245.925,246.1133333333333,1
245.94000000000003,246.09000000000003,1
245.965,246.0966666666667,0
245.99,246.11000000000004,1
246.08,246.10666666666668,1
246.14,246.11,0
246.195,246.11666666666667,1
246.245,246.1233333333333,0
243.215,243.13333333333333,0
243.26000000000005,243.1266666666667,1
243.27500000000003,243.17333333333332,0
243.345,243.23666666666665,0
243.385,243.25666666666663,0
243.445,243.30666666666667,0
243.445,243.31666666666663,1
243.45,243.33333333333331,0
243.445,243.41333333333333,1
243.46,243.44000000000003,0
243.47000000000003,243.44666666666672,1
243.46000000000004,243.45000000000007,0
243.48,243.46000000000004,0
243.505,243.4733333333334,1
243.51,243.47333333333336,0
243.525,243.48666666666668,1
243.53500000000003,243.49000000000007,0
243.555,243.51,0
243.48999999999995,243.4933333333333,0
243.52,243.50333333333333,0
243.545,243.50666666666663,0
243.55,243.51,0
243.545,243.5133333333333,1
243.545,243.51333333333332,0
243.5300000000001,243.51333333333335,1
243.53500000000008,243.51666666666668,1
243.53000000000003,243.5333333333334,0
243.54000000000005,243.55000000000007,0
243.53000000000003,243.5666666666667,1
243.535,243.58,0
243.545,243.58333333333331,0
243.555,243.58666666666664,0
243.59,243.58333333333331,1
243.45,243.52,1
243.44,243.51,0
243.295,243.37,1
243.335,243.38,0
243.4,243.41,0
243.485,243.44666666666663,1
243.67,243.5533333333333,1
243.74,243.59666666666664,0
243.795,243.63333333333333,0
243.84500000000003,243.67,0
243.51,243.61999999999995,0
243.17,243.58,1
243.205,243.54,1
243.215,243.50666666666663,1
243.235,243.48,0
243.285,243.45,1
243.49,243.38,1
243.74,243.50333333333336,0
243.805,243.55000000000007,0
243.86000000000004,243.59000000000003,0
243.90000000000003,243.63,0
243.95000000000005,243.69666666666672,1
243.99,243.7433333333333,1
244.07,243.83666666666664,1
244.105,243.87,1
244.14999999999995,243.9,0
244.19,243.92,0
244.23999999999995,243.95666666666665,1
244.265,243.98333333333332,0
244.27,244.00666666666663,0
243.79,243.9966666666666,1
243.74999999999997,243.9633333333333,0
243.735,243.94666666666663,0
243.715,243.91333333333333,0
243.695,243.89,1
243.67,243.86666666666665,0
243.66,243.85,0
243.09500000000003,243.33666666666667,0
243.08,243.31666666666663,0
243.08,243.31666666666663,1
243.14499999999992,243.2866666666666,0
243.19499999999996,243.27999999999997,0
243.23999999999995,243.26999999999995,1
243.29,243.26,1
243.32,243.25,0
243.39500000000004,243.27666666666667,1
243.425,243.29333333333332,1
243.485,243.31,1
243.835,243.5533333333333,1
243.97000000000003,243.67333333333332,0
244.04500000000007,243.72666666666672,1
244.08500000000004,243.76333333333335,1
244.19,243.85666666666668,0
244.225,243.9,1
