ema50_previous,wpr14_current,class
243.05081734269802,-22.222222222220818,1
243.0801567765349,-23.529411764705984,1
243.09723482203853,-5.8823529411760775,0
243.12724866225426,-12.499999999999332,1
243.156699094496,-21.428571428572152,1
243.1810730391989,-7.142857142856707,0
243.2141750962919,-14.285714285713414,0
243.2414438595034,-15.384615384614374,0
243.26764325945183,-23.07692307692375,0
243.28766645258773,-46.15384615384532,1
243.2920716897411,-46.15384615384532,1
243.30490584953125,-0.0,1
243.3507402272872,-33.33333333333176,0
243.37771325986583,-62.49999999999911,1
243.38922113110297,-74.99999999999824,1
243.38825726589275,-62.49999999999911,1
243.39263933389682,-37.500000000000895,1
243.40653350945578,-24.99999999999823,1
243.42564520011646,-12.499999999999115,0
243.44915619207558,-37.500000000000895,1
243.46144762562298,-24.99999999999823,0
243.477792216164,-24.99999999999823,1
243.49349584237004,-37.500000000000895,0
243.52442472476272,-66.66666666666825,0
243.51255442376754,-55.55555555555521,1
243.51574372563167,-44.4444444444448,0
243.52518394693396,-28.571428571430317,1
243.5545785459897,-14.285714285717187,1
243.56219727325947,-57.14285714285656,0
243.5552229905087,-33.333333333334906,1
243.55697895166531,-50.0,1
243.55474448297244,-16.666666666669823,1
243.5598271723899,-16.666666666669823,0
244.13457566301184,-59.375000000000135,1
244.18102591608482,-53.125000000000036,0
244.24318168121968,-56.24999999999986,0
244.49865839231296,-40.909090909091375,0
244.55473397200885,-54.54545454545431,1
244.6246263992505,-30.769230769231612,1
244.65700775575604,-15.384615384614714,1
244.8000337612191,-29.41176470588255,0
246.11119101088147,-93.33333333333373,0
246.1010535779913,-73.33333333333294,0
246.00222037498435,-23.80952380952355,0
246.0194204556496,-38.095238095238216,0
246.02153319613763,-33.33333333333378,1
246.06322380568764,-14.285714285714672,1
246.08648833757584,-14.285714285714672,0
246.10699971877625,-23.80952380952355,1
246.20774843612026,-50.0,1
246.2252391078703,-50.0,0
246.2333196869252,-66.66666666666825,1
246.23139942716784,-81.81818181818275,0
243.48892970336541,-19.999999999998863,0
243.46644913507347,-74.99999999999824,1
243.45194484822804,-62.49999999999911,0
243.4249696349054,-50.00000000000001,0
243.4193215270121,-25.000000000001783,0
243.4213413881039,-62.49999999999911,0
243.41068678503564,-37.500000000000895,1
243.40829314679337,-50.00000000000001,0
243.36018757137555,-50.0,1
243.3540655555481,-20.0000000000017,0
243.3612556220941,-20.0000000000017,1
243.3712317520857,-10.000000000002274,0
243.38719265139287,-0.0,0
243.41503967685944,-30.000000000001133,1
243.4226666918136,-0.0,0
243.4436001301281,-20.0000000000017,1
243.45464230130239,-15.384615384614714,0
243.47824336277438,-38.461538461538964,0
243.4535383943004,-27.272727272725863,0
243.4738747829836,-27.272727272725863,0
243.4928000608603,-36.36363636363706,0
243.5033799701416,-54.54545454545431,0
243.50386102766103,-45.45454545454569,1
243.5082447888069,-45.45454545454569,0
243.5177064639288,-45.45454545454569,1
243.52154726678987,-36.36363636363706,1
243.53038622929424,-27.272727272725863,0
243.54280013444543,-40.000000000000576,0
243.55141925652737,-40.000000000000576,1
243.55970037382176,-57.14285714285889,0
243.56765674141843,-57.14285714285889,0
243.57468748923145,-71.42857142857258,0
243.57729558812068,-66.66666666666825,1
243.4786918402208,-28.57142857142741,1
243.4807546650657,-16.66666666666588,0
243.38654096331402,-30.43478260869539,1
243.4136662072789,-30.000000000000192,0
243.46363079689957,-23.333333333333908,0
243.52131994420768,-33.333333333333336,1
243.67285872345792,-19.999999999999808,1
243.72565081729766,-30.000000000000192,0
243.76031268948935,-30.000000000000192,0
243.7936152725756,-33.333333333333336,0
243.4785969895356,-16.666666666667194,0
243.45285561946952,-23.07692307692375,1
243.4577724455459,-44.4444444444448,1
243.45673407018205,-14.285714285717187,1
243.46750112130297,-9.09090909090862,0
243.49598663110697,-27.272727272725863,1
243.5502679699613,-7.692307692307187,1
243.72280836140885,-21.052631578947604,0
243.76641211403037,-26.31578947368413,0
243.8031571362052,-36.84210526315718,0
243.82939082912742,-41.1764705882349,0
243.85398214441014,-50.00000000000089,1
243.87736915796813,-71.42857142857113,1
243.90048910839386,-61.53846153846187,1
243.913461844291,-61.53846153846187,1
243.9228578186069,-69.99999999999885,0
243.93519328660145,-59.999999999999424,0
243.95342100085227,-80.00000000000115,1
243.96124994942073,-75.00000000000179,0
243.96570385355844,-87.50000000000091,0
243.78249283555442,-41.66666666666706,1
243.7881330243901,-24.999999999998817,0
243.79681520218614,-19.999999999998863,0
243.8000081230579,-9.999999999999432,0
243.8051565838701,-9.999999999999432,1
243.81255756573015,-9.09090909090862,0
243.82358988163492,-18.18181818181724,0
243.3362586496526,-39.999999999999616,0
243.32422517571862,-27.272727272725863,0
243.32422517571862,-27.272727272725863,1
243.35205431816294,-21.428571428572152,0
243.36140400928653,-21.428571428572152,0
243.3716142565921,-28.57142857142886,1
243.3768889280473,-28.57142857142886,1
243.38257035500945,-7.142857142856707,0
243.41963891186245,-27.272727272725863,1
243.4409310230653,-18.18181818181724,1
243.4659233235105,-0.0,1
243.69113701774154,-50.00000000000055,1
243.77663953392852,-50.00000000000055,0
243.8156778387047,-61.538461538461455,1
243.83835249684574,-70.83333333333387,1
243.8936252381765,-68.18181818181765,0
243.91716470418132,-68.18181818181765,1
