sma20_current,sma200_previous,class
242.86999999999995,243.0835,1
242.94,243.101,1
242.965,243.1065,0
243.01000000000005,243.112,1
243.045,243.1185,1
243.09,243.1245,0
243.13,243.1325,0
243.175,243.139,0
243.23,243.1455,0
243.28,243.152,1
243.315,243.157,1
243.40999999999997,243.17,1
243.51,243.1845,0
243.62,243.2035,1
243.645,243.215,1
243.635,243.22550000000004,1
243.63,243.231,1
243.63,243.238,1
243.64,243.2445,0
243.63,243.249,1
243.63,243.253,0
243.63,243.2575,1
243.63,243.2625,0
243.605,243.2855,0
243.58,243.2935,1
243.58,243.297,0
243.5900000000001,243.301,1
243.61,243.3175,1
243.49499999999995,243.3445,0
243.49999999999997,243.3475,1
243.5,243.3505,1
243.51,243.354,1
243.52,243.358,0
244.305,243.5165,1
244.39500000000004,243.5275,0
244.48,243.5395,0
245.21,243.5915,0
245.315,243.5955,1
245.4650000000001,243.5995,1
245.425,243.6045,1
245.31,243.6315,0
246.345,244.579,0
246.335,244.6355,0
246.04,244.771,0
246.005,244.78800000000004,0
245.92,244.8385,1
245.965,244.89,1
245.99,244.909,0
245.99500000000003,244.928,1
246.11,245.0005,1
246.195,245.0285,0
246.245,245.0415,1
246.295,245.0535,0
243.23,245.218,0
243.27500000000003,245.1855,1
243.29,245.17050000000003,0
243.385,245.13500000000005,0
243.43,245.1265,0
243.445,245.11,0
243.45,245.10050000000004,1
243.455,245.094,0
243.445,245.0415,1
243.47000000000003,245.024,0
243.46000000000004,245.016,1
243.48,245.007,0
243.505,244.998,0
243.51,244.98800000000003,1
243.525,244.978,0
243.53500000000003,244.971,1
243.555,244.963,0
243.55,244.958,0
243.52,244.8935,0
243.545,244.8865,0
243.55,244.8795,0
243.545,244.873,0
243.545,244.865,1
243.54000000000005,244.859,0
243.53500000000008,244.8475,1
243.53000000000003,244.841,1
243.54000000000005,244.833,0
243.53000000000003,244.824,0
243.535,244.815,1
243.545,244.807,0
243.555,244.7985,0
243.57,244.789,0
243.61000000000004,244.7695,1
243.44,244.5765,1
243.43,244.566,0
243.335,244.455,1
243.4,244.4475,0
243.485,244.44100000000003,0
243.545,244.435,1
243.74,244.4175,1
243.795,244.412,0
243.84500000000003,244.406,0
243.89,244.3975,0
243.435,244.1475,0
243.205,244.0465,1
243.215,244.033,1
243.235,244.0185,1
243.285,244.00600000000003,0
243.36499999999995,243.996,1
243.56,243.9705,1
243.805,243.949,0
243.86000000000004,243.9405,0
243.90000000000003,243.933,0
243.95000000000005,243.92550000000003,0
243.99,243.917,1
244.025,243.9075,1
244.105,243.88550000000004,1
244.14999999999995,243.874,1
244.19,243.8625,0
244.23999999999995,243.8525,0
244.265,243.841,1
244.27,243.82800000000003,0
244.28,243.815,0
243.775,243.68,1
243.735,243.6665,0
243.715,243.661,0
243.695,243.6565,0
243.67,243.652,1
243.66,243.6485,0
243.64499999999992,243.6455,0
243.08,243.5275,0
243.08,243.5315,0
243.08,243.5315,1
243.19499999999996,243.541,0
243.23999999999995,243.5445,0
243.29,243.5475,1
243.32,243.5505,1
243.365,243.5545,0
243.425,243.5655,1
243.485,243.5685,1
243.54,243.5715,1
243.90000000000003,243.5975,1
244.04500000000007,243.609,0
244.08500000000004,243.61550000000003,1
244.12500000000009,243.6205,1
244.225,243.6315,0
244.24999999999997,243.6345,1
