price_previous,sma10_current,class
242.7,242.71,1
243.6,243.01,1
243.5,243.12000000000003,0
243.8,243.22000000000003,1
243.8,243.32,1
243.7,243.44,0
243.9,243.55,0
243.8,243.64000000000004,0
243.8,243.71,0
243.7,243.7,1
243.4,243.68,1
243.5,243.7,1
243.7,243.7,0
243.4,243.6,1
243.6,243.59,1
243.4,243.59,1
243.5,243.56,1
243.7,243.57,1
243.8,243.58,0
243.9,243.59,1
243.7,243.63,0
243.8,243.66000000000003,1
243.8,243.67,0
243.5,243.63,0
243.3,243.5,1
243.5,243.49,0
243.6,243.48,1
243.7,243.53,1
243.4,243.51,0
243.4,243.51,1
243.6,243.49,1
243.5,243.48999999999995,1
243.7,243.51,0
245.2,245.44,1
245.1,245.65,0
245.5,245.79,0
245.4,245.17,0
245.6,245.19,1
245.1,245.14,1
245.2,245.19,1
245.8,245.38,0
246.2,246.39,0
246.2,246.3,0
246.4,245.78000000000003,0
246.3,245.76,0
246.0,245.79,1
246.5,246.14,1
246.5,246.22,0
246.5,246.21000000000004,1
246.8,246.47000000000003,1
246.3,246.52000000000004,0
246.4,246.49,1
246.2,246.45,0
243.3,243.4,0
243.3,243.41000000000003,1
243.3,243.40000000000003,0
243.4,243.42,0
243.5,243.46,0
243.6,243.49,0
243.4,243.47,1
243.6,243.49,0
243.2,243.43,1
243.6,243.45,0
243.6,243.45,1
243.6,243.47,0
243.7,243.48,0
243.8,243.48,1
243.5,243.54,0
243.8,243.57,1
243.6,243.64,0
243.9,243.67,0
243.4,243.40000000000003,0
243.8,243.42,0
243.8,243.44,0
243.7,243.44,0
243.5,243.47,1
243.6,243.51,0
243.6,243.6,1
243.6,243.63,1
243.7,243.67,0
243.8,243.66,0
243.7,243.64999999999995,1
243.7,243.64999999999995,0
243.7,243.67,0
243.7,243.67,0
243.6,243.67,1
243.4,243.32,1
243.5,243.34,0
244.4,243.3,1
244.0,243.44,0
244.5,243.58,0
244.7,243.71,1
245.0,244.17,1
244.8,244.36000000000004,0
244.5,244.53000000000003,0
244.5,244.53000000000003,0
243.4,243.09,0
243.3,243.38,1
243.5,243.39,1
243.4,243.42,1
243.7,243.48,0
244.1,243.54,1
244.1,243.75,1
244.6,244.22,0
244.6,244.3,0
244.5,244.32,0
244.3,244.36000000000004,0
244.3,244.41,1
244.2,244.4,1
244.2,244.37,1
244.2,244.31,1
244.2,244.28000000000003,0
244.3,244.26,0
244.4,244.23,1
244.2,244.22,0
244.2,244.2,0
243.5,243.42,1
243.7,243.48,0
243.9,243.52000000000004,0
243.8,243.57,0
243.9,243.63,1
243.9,243.7,0
244.0,243.77000000000004,0
243.2,243.09,0
243.5,243.13,0
243.5,243.13,1
243.9,243.4,0
243.7,243.48999999999995,0
243.7,243.52,1
243.6,243.56,1
243.6,243.64,0
243.8,243.72000000000003,1
243.9,243.78000000000003,1
244.0,243.83,1
245.1,244.28,1
244.6,244.45,0
244.6,244.5,1
244.3,244.53,1
244.7,244.62,0
244.4,244.61,1
