ema20_current,sma10_current,class
242.80804232857471,242.71,1
243.02817124666146,243.01,1
243.10911759592483,243.12000000000003,0
243.18830584822425,243.22000000000003,1
243.24745301310742,243.32,1
243.32299027329418,243.44,0
243.3803219293884,243.55,0
243.43368119754837,243.64000000000004,0
243.47541036069975,243.71,0
243.4831061194764,243.7,1
243.48560563947842,243.68,1
243.56325338078815,243.7,1
243.62606399778667,243.7,0
243.6218565579633,243.6,1
243.60543272522187,243.59,1
243.57499767236592,243.59,1
243.58541488616103,243.56,1
243.60585156366957,243.57,1
243.6368412400411,243.58,0
243.63988082045898,243.59,1
243.65513026612962,243.63,0
243.668927383641,243.66000000000003,1
243.67188668043715,243.67,0
243.6073040003257,243.63,0
243.53263329922112,243.5,1
243.5390491754857,243.49,0
243.54782955549385,243.48,1
243.5846293632221,243.53,1
243.4824772213984,243.51,0
243.49515763676848,243.51,1
243.49561881421917,243.49,1
243.51805922863358,243.48999999999995,1
243.53836246072282,243.51,0
244.865743807797,245.44,1
244.9529290156389,245.65,0
245.0112754815163,245.79,0
245.25567103400329,245.17,0
245.29113600585944,245.19,1
245.30821094057927,245.14,1
245.30505059744948,245.19,1
245.3517326454736,245.38,0
246.35668006786668,246.39,0
246.28226323745014,246.3,0
245.91805783334868,245.78000000000003,0
245.91544746069675,245.76,0
245.90982252579633,245.79,1
246.04466204697792,246.14,1
246.09546641525884,246.22,0
246.11643357407087,246.21000000000004,1
246.32685978092744,246.47000000000003,1
246.3559530000833,246.52000000000004,0
246.35597803129951,246.49,1
246.34647686906655,246.45,0
243.3005158945725,243.4,0
243.3510051490398,243.41000000000003,1
243.360134634689,243.40000000000003,0
243.41386236904182,243.42,0
243.45450350009202,243.46,0
243.46588803621484,243.49,0
243.4801483739834,243.47,1
243.4835267748217,243.49,0
243.41758119532898,243.43,1
243.4576868138441,243.45,0
243.46826491104267,243.45,1
243.4962859986712,243.47,0
243.53264999060036,243.48,0
243.53102823747517,243.48,1
243.561107905178,243.54,0
243.56778745378688,243.57,1
243.6053778230587,243.64,0
243.60337787964505,243.67,0
243.47725870881715,243.40000000000003,0
243.51543482358952,243.42,0
243.53450022922726,243.44,0
243.52972672332132,243.44,0
243.53641941633828,243.47,1
243.54098694023128,243.51,0
243.55048787212868,243.6,1
243.56323935261327,243.63,1
243.5887635252758,243.67,0
243.5963819356714,243.66,0
243.60773809253936,243.64999999999995,1
243.61950048044707,243.64999999999995,0
243.63014264093502,243.67,0
243.63173522259427,243.67,0
243.6373136549837,243.67,1
243.3992271261044,243.32,1
243.4058490030877,243.34,0
243.3799187624617,243.3,1
243.50593417329483,243.44,0
243.64494681463356,243.58,0
243.73470987928033,243.71,1
244.05805512794174,244.17,1
244.11651058343682,244.36000000000004,0
244.16791108290508,244.53000000000003,0
244.20340471739672,244.53000000000003,0
243.30443871360828,243.09,0
243.30165569150776,243.38,1
243.3139973557042,243.39,1
243.35671059146011,243.42,1
243.4423777568309,243.48,0
243.50976514423428,243.54,1
243.70404274295217,243.75,1
244.06405391858522,244.22,0
244.12193806068558,244.3,0
244.15079849893291,244.32,0
244.179885863592,244.36000000000004,0
244.19370365394352,244.41,1
244.18567007542484,244.4,1
244.21079869360514,244.37,1
244.22316017469691,244.31,1
244.24238041160982,244.28000000000003,0
244.27226949887117,244.26,0
244.27282553840038,244.23,1
244.26737754262746,244.22,0
244.25441236386013,244.2,0
243.60600040182243,243.42,1
243.6309064056638,243.48,0
243.64105947834895,243.52000000000004,0
243.6597694012546,243.57,0
243.67520965695155,243.63,1
243.7031665309972,243.7,0
243.71744926629685,243.77000000000004,0
243.0698260548477,243.09,0
243.1383383351474,243.13,0
243.1383383351474,243.13,1
243.35168511790573,243.4,0
243.3982478919212,243.48999999999995,0
243.4323400762957,243.52,1
243.45723430681159,243.56,1
243.51279239616932,243.64,0
243.5914204416193,243.72000000000003,1
243.6481860179817,243.78000000000003,1
243.71710519823483,243.83,1
244.18370312764912,244.28,1
244.3003834654829,244.45,0
244.3122491032734,244.5,1
244.3134608707981,244.53,1
244.38292331426982,244.62,0
244.39198851423717,244.61,1
