price_current,cci20_previous,class
242.9,-21.93861004597612,1
243.5,98.46214934662865,1
243.8,99.44153633195806,0
243.8,109.86786369240049,1
243.7,117.85839417655228,1
243.9,102.54540268262848,0
243.8,101.5148840559035,0
243.8,100.2514032848662,0
243.7,89.62036625169803,0
243.4,68.31116765052944,1
243.4,32.404516569699936,1
244.0,17.310135879888527,1
243.8,48.915501406250044,0
243.5,-16.972449761541213,1
243.4,-11.852478199791927,1
243.5,-30.68672425356317,1
243.7,-20.425177931153435,1
243.8,-5.560417832040456,1
243.9,22.40958172723565,0
243.7,35.295075132829474,1
243.8,21.399168773441684,0
243.8,12.854910300272394,1
243.7,17.648530028721336,0
243.6,-22.11970965669456,0
243.5,-44.81815314474896,1
243.6,-25.72284948559573,0
243.6,-2.3439712122770304,1
243.7,8.251245230768731,1
243.4,-21.24280038042813,0
243.6,-14.312606738079404,1
243.5,0.9751093585219838,1
243.7,10.273256892477988,1
243.7,19.401388098101425,0
245.1,151.9226115840708,1
245.5,108.8270309077913,0
245.3,128.3364314514768,0
245.6,27.99312385517817,0
245.3,40.903421667583906,1
245.2,-32.190404548676966,1
245.4,-40.56706791491077,1
245.5,51.90944694485402,0
246.0,-8.995491459682867,0
246.3,-16.855271087085068,0
246.3,7.21770126800119,0
246.0,25.74828855910637,0
246.1,1.570210856888903,1
246.5,24.008482703539052,1
246.5,35.7745350951466,0
246.3,25.988900499439648,1
246.4,49.044444732569396,1
246.4,9.0097089461724,0
246.2,14.074815463533866,1
246.1,2.074795549648184,0
243.4,1.6931903945987798,0
243.3,12.67003486075333,1
243.4,6.090511470373088,0
243.5,6.002632994934852,0
243.7,2.1022616972241503,0
243.4,10.32250636708142,0
243.6,0.20060782566124225,1
243.5,7.9331357560764895,0
243.3,-10.512683350294218,1
243.6,1.0140571852020823,0
243.6,10.155883880388977,1
243.7,8.239774257040409,0
243.8,9.782567757734258,0
243.5,14.788556684189846,1
243.8,2.145695416204102,0
243.6,9.924854323598376,1
243.9,9.226674290765313,0
243.6,18.167946716552493,0
243.8,-1.5567982264922733,0
243.8,9.666897424865118,0
243.7,20.297657338070763,0
243.5,13.134358230237774,0
243.6,0.8352073297805495,1
243.6,0.9410111478481138,0
243.6,1.5732571457343036,1
243.7,3.4680404310444994,1
243.8,5.687527252733164,0
243.7,11.818834156428812,0
243.7,10.147069082510924,1
243.7,11.967321798105953,0
243.7,9.443652168006508,0
243.6,12.859754283041301,0
243.6,0.2132241625619085,1
243.5,-4.000354626029926,1
243.5,3.2464791933174246,0
244.0,30.059927471407587,1
244.5,53.19638857036657,0
244.7,81.3145467002538,0
244.4,74.3504030470735,1
244.8,81.69973293605865,1
244.5,72.76839284692278,0
244.5,53.55319289403757,0
244.4,47.95776900458728,0
243.5,-5.7915725313419575,0
243.5,11.722195488176482,1
243.4,12.39264619035711,1
243.7,13.50377462865776,1
244.1,25.677465313541607,0
243.9,47.30146802286857,1
244.3,38.023243575150225,1
244.6,61.333038218453396,0
244.5,57.36154804477928,0
244.3,40.61701965325139,0
244.3,30.899287469173284,0
244.2,23.614745532899367,1
244.0,16.207691846396994,1
244.2,8.223205462261372,1
244.2,7.776476739407178,1
244.3,2.7058180499685762,0
244.4,10.713579423575938,0
244.2,9.712520242697996,1
244.2,0.6783551786306558,0
244.1,-8.94465644412215,0
243.7,-20.00836688860914,1
243.9,-3.3938866056316583,0
243.8,4.7521805719972035,0
243.9,10.300130872784028,0
243.9,11.893405724981433,1
244.0,13.609423164598494,0
243.9,21.45268599887544,0
243.1,12.383244020872727,0
243.4,22.634572329555308,0
243.4,22.634572329555308,1
243.7,49.93076117163393,0
243.7,41.92757825674757,0
243.6,34.02023926196701,1
243.6,17.073708397702525,1
243.9,19.24499833813184,0
243.9,36.18590817735621,1
244.0,29.4195555761516,1
244.2,35.2728580864134,1
244.6,93.41935005226318,1
244.6,38.33324415451012,0
244.3,38.25601746660492,1
244.2,21.18985839706248,1
244.4,26.090087134056763,0
244.4,20.7488672030532,1
