sma200_previous,adi14_current,class
243.0835,28.5086304682157,1
243.101,28.138500306321486,1
243.1065,28.889236045258755,0
243.112,29.839196304385656,1
243.1185,30.1271380224288,1
243.1245,30.39451247489746,0
243.1325,30.64278875218976,0
243.139,29.654132731555194,0
243.1455,28.736094998108808,0
243.152,26.808864225706376,1
243.157,25.01929279418984,1
243.17,23.82751702419544,1
243.1845,24.669145416417518,0
243.2035,21.868108022296845,1
243.215,18.93572576097408,1
243.22550000000004,16.909175483037668,1
243.231,16.71153528419644,1
243.238,17.33874074742247,1
243.2445,18.274806785425397,0
243.249,18.521745256582424,1
243.253,18.167628804815713,0
243.2575,17.838806385318048,1
243.2625,16.68817326665854,0
243.2855,14.074892976867886,0
243.2935,11.723718980900257,1
243.297,11.781263603796566,0
243.301,12.217731914307196,1
243.3175,12.321318526539313,1
243.3445,9.841398879857568,0
243.3475,9.479940862592802,1
243.3505,9.669916171077269,1
243.354,9.846321814669997,1
243.358,10.01012705514896,0
243.5165,36.066683634769795,1
243.5275,35.901222962108825,0
243.5395,35.747580908923624,0
243.5915,30.407514357618858,0
243.5955,29.630795677328607,1
243.5995,27.828190657430497,1
243.6045,27.49926336354553,1
243.6315,28.178075905958515,0
244.579,20.97154111331691,0
244.6355,22.22618143909097,0
244.771,21.022582531595226,0
244.78800000000004,20.640385946514307,0
244.8385,18.443075284331172,1
244.89,18.029949940459744,1
244.909,17.77453904853629,0
244.928,17.75913036032934,1
245.0005,18.89200066982739,1
245.0285,16.85596897350981,0
245.0415,16.43903175848917,1
245.0535,16.289187371129106,0
245.218,26.36142655977246,0
245.1855,23.5180218814308,1
245.17050000000003,22.27543432637408,0
245.13500000000005,18.921429054368936,0
245.1265,18.61680868381536,0
245.11,17.202181312156945,0
245.10050000000004,16.52774150659339,1
245.094,15.901475972855765,0
245.0415,16.360571372737304,1
245.024,14.799968119111641,0
245.016,14.428757218865249,1
245.007,14.084061382922178,0
244.998,14.132824171475525,0
244.98800000000003,13.34574201489194,1
244.978,12.614880012350055,0
244.971,11.936222438561153,1
244.963,12.060965966298456,0
244.958,11.728211985074987,0
244.8935,10.551203324066408,0
244.8865,11.592449135621324,0
244.8795,12.559320246350902,0
244.873,12.074671102857986,0
244.865,11.624639755328849,1
244.859,11.206753504051797,0
244.8475,10.894874503855425,1
244.841,10.965592863192587,1
244.833,11.471529205555123,0
244.824,11.941327237748927,0
244.815,12.816823244868123,1
244.807,13.6297838229074,0
244.7985,15.187370909879636,0
244.789,16.633701776353846,0
244.7695,17.047087438593024,1
244.5765,13.647362654291616,1
244.566,12.703805468948413,0
244.455,19.612686809556244,1
244.4475,21.5913002090508,0
244.44100000000003,23.42858408001002,0
244.435,24.812100966834027,1
244.4175,29.967589134721035,1
244.412,31.34619330779241,0
244.406,32.62632575421583,0
244.3975,32.74811854588482,0
244.1475,19.198150644333147,0
244.0465,14.166002276412605,1
244.033,13.786046332060563,1
244.0185,12.916829735310724,1
244.00600000000003,13.554546592099767,0
243.996,14.14671224483238,1
243.9705,16.677219901394473,1
243.949,24.034625244078974,0
243.9405,24.433777777973873,0
243.933,24.80441941659055,0
243.92550000000003,24.33503920954046,0
243.917,23.89918616013681,1
243.9075,23.085019319478427,1
243.88550000000004,22.225102817930544,1
243.874,21.386482110013713,1
243.8625,21.2785551900486,0
243.8525,21.178337335795323,0
243.841,20.594244309146546,1
243.82800000000003,19.582386587333122,0
243.815,18.642804417077798,0
243.68,25.380583426642843,1
243.6665,22.66283896773444,0
243.661,21.318524807058505,0
243.6565,20.07023308643088,0
243.652,18.85586140719128,1
243.6485,17.7821959635366,0
243.6455,16.7852209087144,0
243.5275,28.047482860480557,0
243.5315,25.182504638209327,0
243.5315,25.182504638209327,1
243.541,22.225217024745675,0
243.5445,21.40025334139247,0
243.5475,20.250489922857888,1
243.5505,19.182852462790045,1
243.5545,18.512652009814406,0
243.5655,18.068313226042694,1
243.5685,17.981200619141127,1
243.5715,18.19813323954607,1
243.5975,25.539220006270078,1
243.609,26.142946115175576,0
243.61550000000003,26.186910541257912,1
243.6205,25.63961220031826,1
243.6315,26.037022757697468,0
243.6345,25.60473829445279,1
