sma30_current,wpr14_previous,class
243.04666666666665,-54.54545454545549,1
243.02,-12.500000000000892,1
243.03333333333336,-23.529411764705984,0
243.0533333333333,-5.8823529411760775,1
243.07333333333332,-12.499999999999332,1
243.09333333333333,-21.428571428572152,0
243.11,-7.142857142856707,0
243.1266666666667,-14.285714285713414,0
243.15,-15.384615384614374,0
243.16666666666663,-23.07692307692375,1
243.17666666666665,-46.15384615384532,1
243.21,-41.66666666666706,1
243.2633333333333,-50.000000000002366,0
243.31666666666663,-74.99999999999824,1
243.38333333333333,-50.00000000000001,1
243.42666666666665,-74.99999999999824,1
243.46,-62.49999999999911,1
243.4933333333333,-37.500000000000895,1
243.53333333333333,-24.99999999999823,0
243.56666666666663,-12.499999999999115,1
243.6033333333333,-37.500000000000895,0
243.63333333333333,-24.99999999999823,1
243.65666666666667,-24.99999999999823,0
243.63666666666668,-83.33333333333412,0
243.58666666666667,-77.77777777777601,1
243.58333333333331,-55.55555555555521,0
243.59000000000003,-44.4444444444448,1
243.59333333333336,-14.285714285717187,1
243.56333333333333,-57.14285714285656,0
243.57,-57.14285714285656,1
243.57,-33.333333333334906,1
243.57,-50.0,1
243.56666666666663,-16.666666666669823,0
244.03333333333333,-57.81250000000021,1
244.1,-59.375000000000135,0
244.15666666666667,-53.125000000000036,0
244.54666666666665,-59.2592592592593,0
244.6,-40.909090909091375,1
244.7,-55.555555555556076,1
244.77666666666664,-30.769230769231612,1
245.04333333333332,-11.76470588235235,0
246.18666666666664,-80.00000000000115,0
246.23666666666665,-80.00000000000115,0
246.15,-5.5555555555552045,0
246.13333333333333,-23.80952380952355,0
246.10333333333332,-38.095238095238216,1
246.0966666666667,-14.285714285714672,1
246.11000000000004,-14.285714285714672,0
246.10333333333332,-14.285714285714672,1
246.10666666666665,-14.285714285713414,1
246.11666666666667,-58.33333333333294,0
246.1233333333333,-50.0,1
246.1266666666667,-66.66666666666825,0
243.1133333333333,-29.999999999998288,0
243.17333333333332,-54.54545454545431,1
243.19333333333333,-74.99999999999824,0
243.25666666666663,-62.49999999999911,0
243.28333333333333,-50.00000000000001,0
243.31666666666663,-37.500000000000895,0
243.33333333333331,-62.49999999999911,1
243.33666666666667,-37.500000000000895,0
243.43,-60.00000000000227,1
243.44666666666672,-20.0000000000017,0
243.45000000000007,-20.0000000000017,1
243.46000000000004,-20.0000000000017,0
243.4733333333334,-10.000000000002274,0
243.47333333333336,-0.0,1
243.48666666666668,-30.000000000001133,0
243.49000000000007,-0.0,1
243.51,-20.0000000000017,0
243.52,-15.384615384614714,0
243.50333333333333,-63.63636363636294,0
243.50666666666663,-27.272727272725863,0
243.51,-27.272727272725863,0
243.5133333333333,-36.36363636363706,0
243.51333333333332,-54.54545454545431,1
243.51666666666668,-45.45454545454569,0
243.51666666666668,-45.45454545454569,1
243.5333333333334,-45.45454545454569,1
243.55000000000007,-36.36363636363706,0
243.5666666666667,-27.272727272725863,0
243.58,-40.000000000000576,1
243.58333333333331,-40.000000000000576,0
243.58666666666664,-57.14285714285889,0
243.58666666666664,-57.14285714285889,0
243.57666666666668,-66.66666666666825,1
243.51,-42.857142857141106,1
243.50333333333327,-28.57142857142741,0
243.38,-0.0,1
243.41,-30.43478260869539,0
243.44666666666663,-30.000000000000192,0
243.47333333333333,-23.333333333333908,1
243.59666666666664,-13.333333333333526,1
243.63333333333333,-19.999999999999808,0
243.67,-30.000000000000192,0
243.70666666666665,-30.000000000000192,0
243.63,-22.2222222222224,0
243.54,-33.333333333333336,1
243.50666666666663,-23.07692307692375,1
243.48,-44.4444444444448,1
243.45,-14.285714285717187,0
243.42,-9.09090909090862,1
243.3766666666667,-16.66666666666785,1
243.55000000000007,-21.052631578947604,0
243.59000000000003,-21.052631578947604,0
243.63,-26.31578947368413,0
243.69666666666672,-36.84210526315718,0
243.7433333333333,-41.1764705882349,1
243.79333333333332,-50.00000000000089,1
243.87,-61.53846153846187,1
243.9,-61.53846153846187,1
243.92,-61.53846153846187,0
243.95666666666665,-69.99999999999885,0
243.98333333333332,-59.999999999999424,1
244.00666666666663,-80.00000000000115,0
244.03333333333333,-75.00000000000179,0
243.9833333333333,-66.66666666666667,1
243.94666666666663,-41.66666666666706,0
243.91333333333333,-24.999999999998817,0
243.89,-19.999999999998863,0
243.86666666666665,-9.999999999999432,1
243.85,-9.999999999999432,0
243.83666666666664,-9.09090909090862,0
243.32333333333332,-33.333333333333336,0
243.30666666666667,-13.333333333332574,0
243.30666666666667,-13.333333333332574,1
243.27999999999997,-7.142857142856707,0
243.26999999999995,-21.428571428572152,0
243.26,-21.428571428572152,1
243.25,-28.57142857142886,1
243.26666666666668,-28.57142857142886,0
243.29333333333332,-28.57142857142741,1
243.31,-27.272727272725863,1
243.34333333333333,-18.18181818181724,1
243.62,-30.76923076923127,1
243.72666666666672,-50.00000000000055,0
243.76333333333335,-50.00000000000055,1
243.79333333333335,-61.538461538461455,1
243.9,-50.000000000000604,0
243.94333333333333,-68.18181818181765,1
