cci20_previous,wpr14_current,class
-21.93861004597612,-22.222222222220818,1
98.46214934662865,-23.529411764705984,1
99.44153633195806,-5.8823529411760775,0
109.86786369240049,-12.499999999999332,1
117.85839417655228,-21.428571428572152,1
102.54540268262848,-7.142857142856707,0
101.5148840559035,-14.285714285713414,0
100.2514032848662,-15.384615384614374,0
89.62036625169803,-23.07692307692375,0
68.31116765052944,-46.15384615384532,1
32.404516569699936,-46.15384615384532,1
17.310135879888527,-0.0,1
48.915501406250044,-33.33333333333176,0
-16.972449761541213,-62.49999999999911,1
-11.852478199791927,-74.99999999999824,1
-30.68672425356317,-62.49999999999911,1
-20.425177931153435,-37.500000000000895,1
-5.560417832040456,-24.99999999999823,1
22.40958172723565,-12.499999999999115,0
35.295075132829474,-37.500000000000895,1
21.399168773441684,-24.99999999999823,0
12.854910300272394,-24.99999999999823,1
17.648530028721336,-37.500000000000895,0
-22.11970965669456,-66.66666666666825,0
-44.81815314474896,-55.55555555555521,1
-25.72284948559573,-44.4444444444448,0
-2.3439712122770304,-28.571428571430317,1
8.251245230768731,-14.285714285717187,1
-21.24280038042813,-57.14285714285656,0
-14.312606738079404,-33.333333333334906,1
0.9751093585219838,-50.0,1
10.273256892477988,-16.666666666669823,1
19.401388098101425,-16.666666666669823,0
151.9226115840708,-59.375000000000135,1
108.8270309077913,-53.125000000000036,0
128.3364314514768,-56.24999999999986,0
27.99312385517817,-40.909090909091375,0
40.903421667583906,-54.54545454545431,1
-32.190404548676966,-30.769230769231612,1
-40.56706791491077,-15.384615384614714,1
51.90944694485402,-29.41176470588255,0
-8.995491459682867,-93.33333333333373,0
-16.855271087085068,-73.33333333333294,0
7.21770126800119,-23.80952380952355,0
25.74828855910637,-38.095238095238216,0
1.570210856888903,-33.33333333333378,1
24.008482703539052,-14.285714285714672,1
35.7745350951466,-14.285714285714672,0
25.988900499439648,-23.80952380952355,1
49.044444732569396,-50.0,1
9.0097089461724,-50.0,0
14.074815463533866,-66.66666666666825,1
2.074795549648184,-81.81818181818275,0
1.6931903945987798,-19.999999999998863,0
12.67003486075333,-74.99999999999824,1
6.090511470373088,-62.49999999999911,0
6.002632994934852,-50.00000000000001,0
2.1022616972241503,-25.000000000001783,0
10.32250636708142,-62.49999999999911,0
0.20060782566124225,-37.500000000000895,1
7.9331357560764895,-50.00000000000001,0
-10.512683350294218,-50.0,1
1.0140571852020823,-20.0000000000017,0
10.155883880388977,-20.0000000000017,1
8.239774257040409,-10.000000000002274,0
9.782567757734258,-0.0,0
14.788556684189846,-30.000000000001133,1
2.145695416204102,-0.0,0
9.924854323598376,-20.0000000000017,1
9.226674290765313,-15.384615384614714,0
18.167946716552493,-38.461538461538964,0
-1.5567982264922733,-27.272727272725863,0
9.666897424865118,-27.272727272725863,0
20.297657338070763,-36.36363636363706,0
13.134358230237774,-54.54545454545431,0
0.8352073297805495,-45.45454545454569,1
0.9410111478481138,-45.45454545454569,0
1.5732571457343036,-45.45454545454569,1
3.4680404310444994,-36.36363636363706,1
5.687527252733164,-27.272727272725863,0
11.818834156428812,-40.000000000000576,0
10.147069082510924,-40.000000000000576,1
11.967321798105953,-57.14285714285889,0
9.443652168006508,-57.14285714285889,0
12.859754283041301,-71.42857142857258,0
0.2132241625619085,-66.66666666666825,1
-4.000354626029926,-28.57142857142741,1
3.2464791933174246,-16.66666666666588,0
30.059927471407587,-30.43478260869539,1
53.19638857036657,-30.000000000000192,0
81.3145467002538,-23.333333333333908,0
74.3504030470735,-33.333333333333336,1
81.69973293605865,-19.999999999999808,1
72.76839284692278,-30.000000000000192,0
53.55319289403757,-30.000000000000192,0
47.95776900458728,-33.333333333333336,0
-5.7915725313419575,-16.666666666667194,0
11.722195488176482,-23.07692307692375,1
12.39264619035711,-44.4444444444448,1
13.50377462865776,-14.285714285717187,1
25.677465313541607,-9.09090909090862,0
47.30146802286857,-27.272727272725863,1
38.023243575150225,-7.692307692307187,1
61.333038218453396,-21.052631578947604,0
57.36154804477928,-26.31578947368413,0
40.61701965325139,-36.84210526315718,0
30.899287469173284,-41.1764705882349,0
23.614745532899367,-50.00000000000089,1
16.207691846396994,-71.42857142857113,1
8.223205462261372,-61.53846153846187,1
7.776476739407178,-61.53846153846187,1
2.7058180499685762,-69.99999999999885,0
10.713579423575938,-59.999999999999424,0
9.712520242697996,-80.00000000000115,1
0.6783551786306558,-75.00000000000179,0
-8.94465644412215,-87.50000000000091,0
-20.00836688860914,-41.66666666666706,1
-3.3938866056316583,-24.999999999998817,0
4.7521805719972035,-19.999999999998863,0
10.300130872784028,-9.999999999999432,0
11.893405724981433,-9.999999999999432,1
13.609423164598494,-9.09090909090862,0
21.45268599887544,-18.18181818181724,0
12.383244020872727,-39.999999999999616,0
22.634572329555308,-27.272727272725863,0
22.634572329555308,-27.272727272725863,1
49.93076117163393,-21.428571428572152,0
41.92757825674757,-21.428571428572152,0
34.02023926196701,-28.57142857142886,1
17.073708397702525,-28.57142857142886,1
19.24499833813184,-7.142857142856707,0
36.18590817735621,-27.272727272725863,1
29.4195555761516,-18.18181818181724,1
35.2728580864134,-0.0,1
93.41935005226318,-50.00000000000055,1
38.33324415451012,-50.00000000000055,0
38.25601746660492,-61.538461538461455,1
21.18985839706248,-70.83333333333387,1
26.090087134056763,-68.18181818181765,0
20.7488672030532,-68.18181818181765,1
