sma10_current,adi14_current,class
242.71,28.5086304682157,1
243.01,28.138500306321486,1
243.12000000000003,28.889236045258755,0
243.22000000000003,29.839196304385656,1
243.32,30.1271380224288,1
243.44,30.39451247489746,0
243.55,30.64278875218976,0
243.64000000000004,29.654132731555194,0
243.71,28.736094998108808,0
243.7,26.808864225706376,1
243.68,25.01929279418984,1
243.7,23.82751702419544,1
243.7,24.669145416417518,0
243.6,21.868108022296845,1
243.59,18.93572576097408,1
243.59,16.909175483037668,1
243.56,16.71153528419644,1
243.57,17.33874074742247,1
243.58,18.274806785425397,0
243.59,18.521745256582424,1
243.63,18.167628804815713,0
243.66000000000003,17.838806385318048,1
243.67,16.68817326665854,0
243.63,14.074892976867886,0
243.5,11.723718980900257,1
243.49,11.781263603796566,0
243.48,12.217731914307196,1
243.53,12.321318526539313,1
243.51,9.841398879857568,0
243.51,9.479940862592802,1
243.49,9.669916171077269,1
243.48999999999995,9.846321814669997,1
243.51,10.01012705514896,0
245.44,36.066683634769795,1
245.65,35.901222962108825,0
245.79,35.747580908923624,0
245.17,30.407514357618858,0
245.19,29.630795677328607,1
245.14,27.828190657430497,1
245.19,27.49926336354553,1
245.38,28.178075905958515,0
246.39,20.97154111331691,0
246.3,22.22618143909097,0
245.78000000000003,21.022582531595226,0
245.76,20.640385946514307,0
245.79,18.443075284331172,1
246.14,18.029949940459744,1
246.22,17.77453904853629,0
246.21000000000004,17.75913036032934,1
246.47000000000003,18.89200066982739,1
246.52000000000004,16.85596897350981,0
246.49,16.43903175848917,1
246.45,16.289187371129106,0
243.4,26.36142655977246,0
243.41000000000003,23.5180218814308,1
243.40000000000003,22.27543432637408,0
243.42,18.921429054368936,0
243.46,18.61680868381536,0
243.49,17.202181312156945,0
243.47,16.52774150659339,1
243.49,15.901475972855765,0
243.43,16.360571372737304,1
243.45,14.799968119111641,0
243.45,14.428757218865249,1
243.47,14.084061382922178,0
243.48,14.132824171475525,0
243.48,13.34574201489194,1
243.54,12.614880012350055,0
243.57,11.936222438561153,1
243.64,12.060965966298456,0
243.67,11.728211985074987,0
243.40000000000003,10.551203324066408,0
243.42,11.592449135621324,0
243.44,12.559320246350902,0
243.44,12.074671102857986,0
243.47,11.624639755328849,1
243.51,11.206753504051797,0
243.6,10.894874503855425,1
243.63,10.965592863192587,1
243.67,11.471529205555123,0
243.66,11.941327237748927,0
243.64999999999995,12.816823244868123,1
243.64999999999995,13.6297838229074,0
243.67,15.187370909879636,0
243.67,16.633701776353846,0
243.67,17.047087438593024,1
243.32,13.647362654291616,1
243.34,12.703805468948413,0
243.3,19.612686809556244,1
243.44,21.5913002090508,0
243.58,23.42858408001002,0
243.71,24.812100966834027,1
244.17,29.967589134721035,1
244.36000000000004,31.34619330779241,0
244.53000000000003,32.62632575421583,0
244.53000000000003,32.74811854588482,0
243.09,19.198150644333147,0
243.38,14.166002276412605,1
243.39,13.786046332060563,1
243.42,12.916829735310724,1
243.48,13.554546592099767,0
243.54,14.14671224483238,1
243.75,16.677219901394473,1
244.22,24.034625244078974,0
244.3,24.433777777973873,0
244.32,24.80441941659055,0
244.36000000000004,24.33503920954046,0
244.41,23.89918616013681,1
244.4,23.085019319478427,1
244.37,22.225102817930544,1
244.31,21.386482110013713,1
244.28000000000003,21.2785551900486,0
244.26,21.178337335795323,0
244.23,20.594244309146546,1
244.22,19.582386587333122,0
244.2,18.642804417077798,0
243.42,25.380583426642843,1
243.48,22.66283896773444,0
243.52000000000004,21.318524807058505,0
243.57,20.07023308643088,0
243.63,18.85586140719128,1
243.7,17.7821959635366,0
243.77000000000004,16.7852209087144,0
243.09,28.047482860480557,0
243.13,25.182504638209327,0
243.13,25.182504638209327,1
243.4,22.225217024745675,0
243.48999999999995,21.40025334139247,0
243.52,20.250489922857888,1
243.56,19.182852462790045,1
243.64,18.512652009814406,0
243.72000000000003,18.068313226042694,1
243.78000000000003,17.981200619141127,1
243.83,18.19813323954607,1
244.28,25.539220006270078,1
244.45,26.142946115175576,0
244.5,26.186910541257912,1
244.53,25.63961220031826,1
244.62,26.037022757697468,0
244.61,25.60473829445279,1
