sma20_previous,cci20_current,class
242.89,-5.2461893588155135,1
242.925,99.64844030261105,1
242.94,110.09598665324188,0
242.965,118.13748784129135,1
243.01000000000005,102.77251972195542,1
243.045,101.60461917177555,0
243.09,100.3399432682205,0
243.13,89.68626710730992,0
243.175,68.27101198753904,0
243.23,32.394986720875075,1
243.28,17.376334972152776,1
243.345,56.60882274233385,1
243.455,46.12032989732397,0
243.59,-21.389936685779873,1
243.65,-22.542948732960976,1
243.635,-20.4578161690408,1
243.635,-5.570503072135273,1
243.63,22.473355404484664,1
243.63,35.34707220893523,0
243.64,21.45386919838161,1
243.63,12.885520981862042,0
243.63,17.67550166287405,1
243.63,4.125630396320813,0
243.615,-2.0737227803129046,0
243.58,-25.677066905842857,1
243.58,-2.338440862321084,0
243.58,10.547870455276616,1
243.61000000000004,12.258992914290946,1
243.50999999999996,-14.242332073244302,0
243.49499999999995,0.9703462195385196,1
243.49999999999997,10.238648264406,1
243.5,19.323507012039247,1
243.51,22.83960877370644,0
244.235,109.76007684580786,1
244.305,129.27469851050364,0
244.39500000000004,116.8335175603984,0
245.085,41.128358894923416,0
245.21,5.13969696346237,1
245.40000000000003,-40.87334261773007,1
245.4650000000001,-17.44594112402482,1
245.33,33.85398713794782,0
246.36,-20.739605309821133,0
246.335,-9.215831673515432,0
246.05,25.89207121538188,0
246.04,4.899010655049458,0
245.925,10.991475998205106,1
245.94000000000003,36.012724055309526,1
245.965,26.147137271377325,0
245.99,27.29378253288497,1
246.08,29.7656349240886,1
246.14,14.143147764342453,0
246.195,2.0851578464506475,1
246.245,-7.261784423761567,0
243.215,4.780772878864045,0
243.26000000000005,6.085607295325249,1
243.27500000000003,7.188800424040278,0
243.345,2.1009215482277104,0
243.385,13.61464718202567,0
243.445,0.20043701683465748,0
243.445,7.924009113693473,1
243.45,7.531457996277207,0
243.445,-10.411599856539748,1
243.46,10.140571851998343,0
243.47000000000003,8.22626594311218,1
243.46000000000004,9.765658378716743,0
243.48,14.775753384074203,0
243.505,2.1417909680533183,1
243.51,9.911069303424178,0
243.525,9.208627722924962,1
243.53500000000003,18.145792771847308,0
243.555,5.850694705330643,0
243.48999999999995,9.652149004273683,0
243.52,20.26930105213196,0
243.545,13.115409356906445,0
243.55,0.833927506682864,0
243.545,0.939608246004676,1
243.545,3.1367038261502755,0
243.5300000000001,3.4611657206133217,1
243.53500000000008,5.674975250800742,1
243.53000000000003,11.796352820485128,0
243.54000000000005,10.130429276936669,0
243.53000000000003,11.943945899210016,1
243.535,9.425589734790103,0
243.545,12.83912261043683,0
243.555,7.65208519321725,0
243.59,-3.198362438428628,1
243.45,3.243530777866139,1
243.44,3.8957750319798015,0
243.295,53.23339883118257,1
243.335,81.26922607053814,0
243.4,74.21045323853883,0
243.485,63.40041732585371,1
243.67,72.71933333719154,1
243.74,53.48038510436458,0
243.795,47.84670512663989,0
243.84500000000003,33.988418858753775,0
243.51,-0.8910111586722304,0
243.17,12.392035230359134,1
243.205,13.509100802101527,1
243.215,25.668331938763128,1
243.235,47.22420794620932,0
243.285,42.381220758079394,1
243.49,48.90305073382071,1
243.74,57.30386052527028,0
243.805,40.55640701603382,0
243.86000000000004,30.855470731062226,0
243.90000000000003,23.595819521913274,0
243.95000000000005,16.19296836541758,1
243.99,4.502136624000659,1
244.07,7.772618861589832,1
244.105,2.7048614745744044,1
244.14999999999995,10.71052978113523,0
244.19,9.698608741341415,0
244.23999999999995,0.6776176913504856,1
244.265,-8.931676518642751,0
244.27,-9.510773940587145,0
243.79,-9.49549615052686,1
243.74999999999997,4.75144124788355,0
243.735,10.296391239332738,0
243.715,11.884766391672391,0
243.695,13.592463685693614,1
243.67,21.434841484245624,0
243.66,19.8635981471046,0
243.09500000000003,11.257494564432543,0
243.08,27.25157464553147,0
243.08,27.25157464553147,1
243.14499999999992,41.91020903772641,0
243.19499999999996,34.01671443472049,0
243.23999999999995,17.0666316563346,1
243.29,19.222055811979352,1
243.32,29.773144487819053,0
243.39500000000004,29.379781247449113,1
243.425,35.21259547724794,1
243.485,40.734461919147456,1
243.835,53.98320106426594,1
243.97000000000003,38.219495655535404,0
244.04500000000007,21.17743824044208,1
244.08500000000004,7.177210102232031,1
244.19,20.735353093439898,0
244.225,11.970500309451449,1
