sma100_current,macd_12_26_current,class
243.29500000000004,-0.10579493543761488,1
243.296,0.12682504136861894,1
243.302,0.1905253506889153,0
243.308,0.2345323651046556,1
243.312,0.2591456587062737,1
243.31600000000003,0.2908785881535607,0
243.318,0.3080925934912955,0
243.32100000000003,0.3199307683841539,0
243.323,0.3183861695091537,0
243.32000000000005,0.2775441674219508,1
243.31700000000004,0.2411417992104248,1
243.31800000000004,0.22087050537811592,1
243.321,0.18179074091452208,0
243.318,0.05884000098657794,1
243.321,0.0038309321667497898,1
243.324,-0.03149576330866921,1
243.32800000000003,-0.019570723288950376,1
243.33300000000003,-0.0021188470064146263,1
243.341,0.008904161459867055,0
243.34600000000003,0.010205171747799113,1
243.34900000000002,0.018729063130194845,0
243.353,0.028469605969064563,1
243.357,0.034647093511495086,0
243.366,-0.006461932966459472,0
243.372,-0.07566565891602295,1
243.375,-0.06050809276126756,0
243.377,-0.05105932405547264,1
243.378,-0.007833523616511684,1
243.38600000000002,-0.03882043863879403,0
243.38800000000003,-0.022322784941934515,1
243.389,-0.02013872107414727,1
243.392,0.0015673193133807215,1
243.396,0.016516134571872954,0
243.568,0.7297572968053885,1
243.59099999999995,0.7196259668604057,0
243.61299999999997,0.6831804288678427,0
243.75,0.17764630974522788,0
243.76999999999995,0.13550047501192353,1
243.81399999999996,0.05700402546034411,1
243.838,0.03904333561837348,1
243.921,0.05823667083575401,0
245.595,0.02902046610179809,0
245.641,-0.047556664614631934,0
245.68400000000003,-0.13178172017259726,0
245.689,-0.108985576023656,0
245.715,-0.06542863854653548,1
245.768,0.09849970845419877,1
245.786,0.15662089614417596,0
245.801,0.1805880157879756,1
245.87,0.23289430089923255,1
245.893,0.1938630133359993,0
245.90500000000003,0.160980668429346,1
245.915,0.12336692143031767,0
244.886,0.12625613980199546,0
244.799,0.09067777347249263,1
244.766,0.07783405358983941,0
244.67400000000006,0.06203469308994159,0
244.6490000000001,0.08024242127106618,0
244.59900000000005,0.06881273874401472,0
244.57500000000005,0.07276303079814284,1
244.548,0.0605666422619322,0
244.396,-0.03411377132721327,1
244.365,-0.003013091751000729,0
244.344,0.007005956479360975,1
244.317,0.029581846751199237,0
244.292,0.04921625113934169,0
244.267,0.03825492998095115,1
244.247,0.05172719668613013,0
244.223,0.0484992841704468,1
244.201,0.0846987068671865,0
244.176,0.07733058353642264,0
243.892,-0.037168028456505915,0
243.866,-0.004310280983958137,0
243.84099999999998,0.007219187602032663,0
243.815,0.002255794306421421,0
243.791,0.006299028708184551,1
243.769,0.010017843220509805,0
243.743,0.02404070627056853,1
243.72599999999997,0.04285771744895328,1
243.711,0.06943013003984788,0
243.69400000000002,0.07394393191543712,0
243.681,0.07814985831404897,1
243.667,0.07266457982714769,0
243.654,0.06406546134567748,0
243.643,0.05271949072155735,0
243.62099999999995,0.041259209393615486,1
243.406,-0.05937556254858122,1
243.393,-0.041197294957640906,0
243.42999999999995,0.06274715405439224,1
243.44400000000002,0.15582042757469594,0
243.457,0.24538621995904464,0
243.47100000000003,0.2935329607160213,1
243.525,0.4436799919469081,1
243.543,0.4375541252802577,0
243.56,0.4230473103599763,0
243.571,0.4161843280544133,0
243.529,-0.1874557933959977,0
243.51800000000003,0.06635131947479067,1
243.51500000000004,0.07674353461939631,1
243.51700000000002,0.10421059682659006,1
243.52599999999998,0.17124704945547364,0
243.53200000000004,0.1948408172316931,1
243.552,0.252936323649692,1
243.589,0.3793532015095025,0
243.59900000000002,0.3671659246579111,0
243.604,0.3402430245924961,0
243.611,0.3106636093045836,0
243.614,0.2654168359564437,1
243.618,0.2165103130335524,1
243.63200000000003,0.16493463663729813,1
243.641,0.13543830961705794,1
243.65200000000004,0.11386364032782124,0
243.664,0.09449580349021858,0
243.67500000000004,0.060957060129226186,1
243.683,0.031672475444622705,0
243.69,0.00155164240521799,0
243.66600000000003,-0.23861531662586802,1
243.66800000000003,-0.13532989786270375,0
243.67000000000004,-0.09331999406211366,0
243.67300000000003,-0.04870552330271494,0
243.676,-0.010536825017112506,1
243.68,0.02780711649523937,0
243.68400000000003,0.0540932392585205,0
243.65,-0.04817639738146795,0
243.647,0.038522479356231536,0
243.647,0.038522479356231536,1
243.618,0.1896293242305376,0
243.61000000000004,0.20410365901540214,0
243.59600000000003,0.20584891528389448,1
243.584,0.21152674575094466,1
243.578,0.2269988632152149,0
243.56600000000003,0.23257107149584044,1
243.569,0.23418957531265505,1
243.576,0.2500452101110397,1
243.646,0.4171703530725495,1
243.687,0.3862044937837936,0
243.705,0.3424731753056278,1
243.718,0.28585439547961755,1
243.74400000000009,0.25111569541053314,0
243.7510000000001,0.2188186964293664,1
